cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 1 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2057.25 0.502247 -0.604025 0.103551 -0.0338523 0.583893 0.79671 -0.152237 1489.87 0 0 0 0.244553 18052 0.858458 0.939623 5 161 133 56.2 6916.7 12329 0.080768 0.65514 8
2057.25 0.505519 -0.61555 0.102341 -0.0563646 0.696378 0.700523 -0.145421 6765.4 0 0 0 0.243053 22345 0.90726 0.938182 7 1221 97 58.4 6916.7 12329 0.080768 0.64914 7
2057.25 -0.1466 -0.797125 0.177665 -0.805234 -0.0103867 0.229134 0.546798 593.2 0 0 0 0.184853 12739 0.939388 0.956522 1 4 65 24 6916.7 12329 0.080768 0.41634 8
2057.25 -0.142764 -0.808483 0.178803 -0.714498 0.0239192 0.227975 0.66102 3002.97 0 0 0 0.183353 25509 0.942794 0.949254 4 472 77 70.4 6916.7 12329 0.080768 0.41034 7
2057.25 0.258892 -0.676449 0.441952 0.641134 -0.311841 -0.613619 -0.339373 1366.28 0 0 0 0.315499 27001 0.770059 0.944615 4 20 636 137.2 6916.7 12329 0.080768 0.938926 8
2057.25 0.263476 -0.687584 0.442019 0.583312 -0.399987 -0.56003 -0.431421 1163.66 0 0 0 0.313999 30823 0.798006 0.936332 7 11 451 153.7 6916.7 12329 0.080768 0.932926 7
2057.25 0.782253 -0.0719681 0.103551 -0.254722 0.526493 0.677805 -0.445537 8870.36 0 0 0 0.504215 12345 0.829895 0.832653 58 1581 201 57.2 6916.7 12329 0.34043 0.65514 8
2057.25 0.792716 -0.0778039 0.102341 -0.318567 0.6218 0.591549 -0.402431 9886.28 0 0 0 0.502715 21722 0.896771 0.914961 33 1805 169 68.9 6916.7 12329 0.34043 0.64914 7
2057.25 0.459991 -0.667314 0.177665 0.739964 0.317746 -0.420943 -0.41749 542.956 0 0 0 0.444515 6805 0.956265 1 0 0 33 9 6916.7 12329 0.34043 0.41634 8
2057.25 0.470734 -0.672633 0.178803 -0.669264 -0.251328 0.463583 0.523461 2648.08 0 0 0 0.443015 25194 0.94627 0.962264 2 400 101 55 6916.7 12329 0.34043 0.41034 7
2057.25 0.661386 -0.295257 0.441952 0.711667 -0.042752 -0.696783 -0.0787178 2668.23 0 0 0 0.575162 16400 0.819579 0.947826 19 360 238 60.5 6916.7 12329 0.34043 0.938926 8
2057.25 0.672501 -0.29989 0.442019 0.691979 -0.146316 -0.682497 -0.184267 4574.46 0 0 0 0.573662 29206 0.828662 0.927072 29 700 368 97.1 6916.7 12329 0.34043 0.932926 7
2057.25 0.604025 0.502247 0.103551 0.436812 -0.388938 -0.455711 0.671007 84576.8 0 0 0 0.763877 24784 0.794245 0.687234 191 16486 724 123.4 6916.7 12329 0.600092 0.65514 8
2057.25 0.61555 0.505519 0.102341 0.53227 -0.452558 -0.392516 0.598173 49025 0 0 0 0.762377 23949 0.816826 0.836364 113 9497 428 128 6916.7 12329 0.600092 0.64914 7
2057.25 0.797125 -0.1466 0.177665 0.562042 0.576731 -0.548667 -0.224622 0 0 0 0 0.704177 0 0 0 0 0 0 0 6916.7 12329 0.600092 0.41634 8
2057.25 0.808483 -0.142764 0.178803 -0.52214 -0.488313 0.628615 0.306209 2042.43 0 0 0 0.702677 3205 0.885777 0.826087 13 302 40 13.5 6916.7 12329 0.600092 0.41034 7
2057.25 0.676449 0.258892 0.441952 -0.673855 -0.232845 0.673867 -0.193921 17550.1 0 0 0 0.834824 4846 0.666049 0.768276 130 3213 361 89.3 6916.7 12329 0.600092 0.938926 8
2057.25 0.687584 0.263476 0.442019 -0.695298 -0.12963 0.701061 -0.0909401 27276.9 0 0 0 0.833324 12393 0.702456 0.76621 172 5064 578 135.1 6916.7 12329 0.600092 0.932926 7
