cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 2 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2120.91 0.502247 -0.604025 0.103551 -0.0338523 0.583893 0.79671 -0.152237 16538.9 0 0 0 0.658179 32227 0.863378 0.85977 76 3070 279 99.2 9022.5 16005 0.658179 0 4
2120.91 0.505519 -0.61555 0.102341 -0.0563646 0.696378 0.700523 -0.145421 36942.9 0 0 0 0.659679 40968 0.903434 0.879793 93 7137 244 108.1 9022.5 16005 0.658179 0.006 5
2120.91 -0.1466 -0.797125 0.177665 -0.805234 -0.0103867 0.229134 0.546798 593.2 0 0 0 1.02908 12739 0.939388 0.956522 1 4 65 24 9022.5 16005 0.658179 1.48361 7
2120.91 -0.142764 -0.808483 0.178803 -0.714498 0.0239192 0.227975 0.66102 32749.8 0 0 0 1.03058 32416 0.950966 0.925301 37 6384 92 89.2 9022.5 16005 0.658179 1.48961 8
2120.91 0.258892 -0.676449 0.441952 0.641134 -0.311841 -0.613619 -0.339373 10291 0 0 0 0.839922 30937 0.775368 0.932155 27 1772 678 151.1 9022.5 16005 0.658179 0.726972 7
2120.91 0.263476 -0.687584 0.442019 0.583312 -0.399987 -0.56003 -0.431421 18643 0 0 0 0.841422 39935 0.803833 0.905143 67 3413 598 191.6 9022.5 16005 0.658179 0.732972 8
2120.91 0.782253 -0.0719681 0.103551 -0.254722 0.526493 0.677805 -0.445537 11239.2 0 0 0 0.438786 17691 0.82925 0.854286 80 2010 281 80.2 9022.5 16005 0.438786 0 4
2120.91 0.792716 -0.0778039 0.102341 -0.318567 0.6218 0.591549 -0.402431 13291.8 0 0 0 0.440286 27832 0.885945 0.912941 58 2438 262 92.4 9022.5 16005 0.438786 0.006 5
2120.91 0.459991 -0.667314 0.177665 0.739964 0.317746 -0.420943 -0.41749 580.924 0 0 0 0.809688 6179 0.92375 1 0 0 71 9 9022.5 16005 0.438786 1.48361 7
2120.91 0.470734 -0.672633 0.178803 -0.669264 -0.251328 0.463583 0.523461 10963.9 0 0 0 0.811188 26151 0.902659 0.945161 20 1990 375 65.4 9022.5 16005 0.438786 1.48961 8
2120.91 0.661386 -0.295257 0.441952 0.711667 -0.042752 -0.696783 -0.0787178 5374.7 0 0 0 0.620529 16091 0.813808 0.932773 23 901 224 63.5 9022.5 16005 0.438786 0.726972 7
2120.91 0.672501 -0.29989 0.442019 0.691979 -0.146316 -0.682497 -0.184267 22798.3 0 0 0 0.622029 34449 0.816185 0.855738 126 4217 515 139.6 9022.5 16005 0.438786 0.732972 8
2120.91 0.604025 0.502247 0.103551 0.436812 -0.388938 -0.455711 0.671007 53170.6 0 0 0 0.219393 30953 0.753589 0.861408 157 10088 1312 202.1 9022.5 16005 0.219393 0 4
2120.91 0.61555 0.505519 0.102341 0.53227 -0.452558 -0.392516 0.598173 22085.6 0 0 0 0.220893 28903 0.765671 0.930387 78 4031 881 193.6 9022.5 16005 0.219393 0.006 5
2120.91 0.797125 -0.1466 0.177665 0.562042 0.576731 -0.548667 -0.224622 0 0 0 0 0.590295 0 0 0 0 0 0 0 9022.5 16005 0.219393 1.48361 7
2120.91 0.808483 -0.142764 0.178803 -0.52214 -0.488313 0.628615 0.306209 2035.49 0 0 0 0.591795 3711 0.864576 0.842857 13 298 42 16.2 9022.5 16005 0.219393 1.48961 8
2120.91 0.676449 0.258892 0.441952 -0.673855 -0.232845 0.673867 -0.193921 17490 0 0 0 0.401136 4912 0.657511 0.785987 130 3195 376 95.3 9022.5 16005 0.219393 0.726972 7
2120.91 0.687584 0.263476 0.442019 -0.695298 -0.12963 0.701061 -0.0909401 29226.6 0 0 0 0.402636 11872 0.673134 0.815282 190 5360 890 178.3 9022.5 16005 0.219393 0.732972 8
2120.91 0.0778039 0.792716 0.102341 0.664939 -0.214418 -0.133727 0.70285 18922.9 0 0 0 0.0015 34783 0.867756 0.945695 52 3554 260 159.2 9022.5 16005 0 0.006 1
2120.91 0.667314 0.459991 0.177665 0.298554 0.747914 -0.592862 0.00244171 0 0 0 0 0.370902 0 0 0 0 0 0 0 9022.5 16005 0 1.48361 3
2120.91 0.672633 0.470734 0.178803 -0.295525 -0.650957 0.697945 0.0423402 8394.98 0 0 0 0.372402 3375 0.678981 0.813793 44 1527 98 34.4 9022.5 16005 0 1.48961 4
2120.91 0.295257 0.661386 0.441952 -0.533455 -0.472994 0.548362 -0.437038 117107 0 0 0 0.181743 46428 0.932268 0.828939 184 22982 679 182.1 9022.5 16005 0 0.726972 3
2120.91 0.29989 0.672501 0.442019 -0.592764 -0.385842 0.612895 -0.352302 156094 0 0 0 0.183243 75325 0.918144 0.863014 224 30654 981 290.5 9022.5 16005 0 0.732972 4
2120.91 -0.502247 0.604025 0.103551 0.583893 0.0338523 0.152237 0.79671 51468.5 0 0 0 0.219393 15022 0.657118 0.784158 182 9873 678 122.8 9022.5 16005 0.219393 0 4
2120.91 -0.505519 0.61555 0.102341 0.696378 0.0563646 0.145421 0.700523 33309 0 0 0 0.220893 14967 0.670586 0.85802 141 6270 657 167.3 9022.5 16005 0.219393 0.006 5
2120.91 0.1466 0.797125 0.177665 -0.0103867 0.805234 -0.546798 0.229134 9591.23 0 0 0 0.590295 16141 0.952951 0.921951 26 1763 118 66.3 9022.5 16005 0.219393 1.48361 7
2120.91 0.142764 0.808483 0.178803 0.0239192 0.714498 -0.66102 0.227975 4518.68 0 0 0 0.591795 6921 0.719094 0.956129 12 769 54 80.9 9022.5 16005 0.219393 1.48961 8
2120.91 -0.258892 0.676449 0.441952 0.311841 0.641134 -0.339373 0.613619 150930 0 0 0 0.401136 54836 0.919274 0.830986 224 29686 756 207.5 9022.5 16005 0.219393 0.726972 7
2120.91 -0.263476 0.687584 0.442019 0.399987 0.583312 -0.431421 0.56003 160253 0 0 0 0.402636 53104 0.886124 0.820321 263 31494 836 220.6 9022.5 16005 0.219393 0.732972 8
2120.91 -0.782253 0.0719681 0.103551 0.526493 0.254722 0.445537 0.677805 8562.38 0 0 0 0.438786 3906 0.600126 0.805556 56 1493 371 43 9022.5 16005 0.438786 0 4
2120.91 -0.792716 0.0778039 0.102341 0.6218 0.318567 0.402431 0.591549 9044.18 0 0 0 0.440286 3582 0.599283 0.836364 63 1587 337 38.4 9022.5 16005 0.438786 0.006 5
