cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 1 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
3810.74 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 699.81 0 0 0 0 76 0.314147 0.940751 0 0 75 154.121 4843.57 8103
3810.74 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 1418.61 0 0 0 0 2345 0.333356 0.936181 2 2 752 178.19 4843.57 8103
3810.74 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 0 0 0 0 0 0 0 4843.57 8103
3810.74 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 2976.92 0 0 0 0 12931 0.899981 0.862069 7 486 43 36.9828 4843.57 8103
3810.74 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 1714.27 0 0 0 0 25498 0.877117 0.874608 3 221 88 68.0862 4843.57 8103
3810.74 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 2115.14 0 0 0 0 66447 0.843473 0.935214 3 255 181 175.69 4843.57 8103
3810.74 0.785673 0.388897 0.103551 0.399164 -0.427487 -0.51553 0.62622 3688.65 0 0 0 0 36497 0.717661 0.937304 10 513 464 140.276 4843.57 8103
3810.74 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 1961.59 0 0 0 0 34808 0.687283 0.890452 4 170 492 153.672 4843.57 8103
3810.74 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 504.959 0 0 0 0 539 0.461739 0.937304 1 4 5 5.84483 4843.57 8103
3810.74 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 632.2 0 0 0 0 10483 0.539151 0.864012 0 0 119 80.6552 4843.57 8103
3810.74 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 630.047 0 0 0 0 25656 0.738343 0.901996 0 0 74 104.31 4843.57 8103
3810.74 0.824054 0.138856 0.442019 -0.704277 -0.0650913 0.706455 -0.026035 5883.27 0 0 0 0 59572 0.81991 0.936698 7 1005 134 220.103 4843.57 8103
3810.74 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 15400.2 0 0 0 0 5747 0.577049 0.68016 66 2899 189 45.5345 4843.57 8103
3810.74 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 11187.5 0 0 0 0 7109 0.562247 0.775112 49 2048 258 56.3448 4843.57 8103
3810.74 0.80676 0.404629 0.177665 0.366118 0.717264 -0.59057 -0.0521301 550.637 0 0 0 0 2150 0.637024 1 0 0 41 9 4843.57 8103
3810.74 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 798.622 0 0 0 0 18500 0.639415 0.909483 0 0 256 87.2414 4843.57 8103
3810.74 0.477918 0.670803 0.441952 -0.574721 -0.421893 0.586255 -0.384717 45463.7 0 0 0 0 42071 0.91299 0.903261 61 8900 85 121.19 4843.57 8103
3810.74 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 50720.2 0 0 0 0 41081 0.913432 0.858202 70 9944 98 122.172 4843.57 8103
3810.74 -0.388897 0.785673 0.103551 0.584531 -0.0200275 0.0782696 0.807339 43887.6 0 0 0 0 11217 0.76648 0.570379 62 8632 88 43.6034 4843.57 8103
3810.74 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 71435.8 0 0 0 0 18625 0.751975 0.525467 116 14067 177 80.3621 4843.57 8103
3810.74 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 1934.1 0 0 0 0 1239 0.536031 0.959432 6 273 50 8.84483 4843.57 8103
3810.74 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 21216.9 0 0 0 0 7306 0.529058 0.75957 66 4030 289 67.6034 4843.57 8103
3810.74 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 223039 0 0 0 0 48219 0.988681 0.599254 220 44288 43 155.483 4843.57 8103
3810.74 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 200523 0 0 0 0 43783 0.985274 0.559868 197 39812 54 143.293 4843.57 8103
3810.74 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 156594 0 0 0 0 31626 0.998436 0.625446 118 31122 1 79.7241 4843.57 8103
3810.74 -0.839763 0.288218 0.102341 0.648479 0.25999 0.346282 0.626075 224679 0 0 0 0 46243 0.998574 0.674545 176 44668 3 117.966 4843.57 8103
3810.74 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 9890.96 0 0 0 0 2803 0.691891 0.673321 19 1883 31 12.6034 4843.57 8103
3810.74 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 126628 0 0 0 0 35608 0.763178 0.626008 201 24971 316 138.086 4843.57 8103
3810.74 -0.670803 0.477918 0.441952 0.108066 0.704712 -0.142509 0.686581 437646 0 0 0 0 89414 0.998379 0.633295 331 87089 2 226.19 4843.57 8103
3810.74 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 408454 0 0 0 0 82328 0.99834 0.647045 313 81272 4 200.914 4843.57 8103
3810.74 -0.785673 -0.388897 0.103551 0.427487 0.399164 0.62622 0.51553 85819.6 0 0 0 0 34308 0.794391 0.760303 174 16859 172 101.655 4843.57 8103
3810.74 -0.797603 -0.390001 0.102341 0.499622 0.488361 0.559511 0.445901 112013 0 0 0 0 44559 0.793136 0.689655 235 22024 228 144.138 4843.57 8103
3810.74 -0.856581 0.28435 0.177665 -0.522558 0.612733 -0.274163 0.525666 25854.6 0 0 0 0 5069 0.999187 0.793103 20 5069 0 12.069 4843.57 8103
3810.74 -0.868449 0.282661 0.178803 -0.438188 0.564864 -0.362762 0.597766 301708 0 0 0 0 61257 0.998442 0.642295 242 60002 2 163.603 4843.57 8103
3810.74 -0.812268 -0.136391 0.441952 -0.169842 0.692424 0.131082 0.688854 301912 0 0 0 0 67293 0.988211 0.694656 267 59998 68 171 4843.57 8103
3810.74 -0.824054 -0.138856 0.442019 -0.0650913 0.704277 0.026035 0.706455 302969 0 0 0 0 69523 0.982623 0.680342 281 60192 82 180.793 4843.57 8103
3810.74 -0.280563 -0.830547 0.103551 0.242193 0.532372 0.775837 0.236644 53228.5 0 0 0 0 22338 0.942569 0.770115 70 10478 49 53.5 4843.57 8103
3810.74 -0.288218 -0.839763 0.102341 0.274703 0.642384 0.68756 0.197843 74438.9 0 0 0 0 28954 0.942382 0.744352 93 14692 68 72.8276 4843.57 8103
3810.74 -0.80676 -0.404629 0.177665 -0.717264 0.366118 -0.0521301 0.59057 3774.4 0 0 0 0 1268 0.783645 0.655172 7 680 7 4.03448 4843.57 8103
3810.74 -0.813958 -0.414215 0.178803 -0.620997 0.354179 -0.106393 0.691087 65193 0 0 0 0 27057 0.78345 0.660243 140 12785 146 91.1034 4843.57 8103
3810.74 -0.477918 -0.670803 0.441952 -0.421893 0.574721 0.384717 0.586255 121599 0 0 0 0 33293 0.958698 0.722959 123 24099 52 74.7069 4843.57 8103
3810.74 -0.484508 -0.68088 0.442019 -0.329652 0.625758 0.294402 0.642717 140580 0 0 0 0 42944 0.956851 0.688543 150 27862 73 101.638 4843.57 8103
3810.74 0.388897 -0.785673 0.103551 0.0200275 0.584531 0.807339 -0.0782696 7214.72 0 0 0 0 30397 0.869342 0.957487 11 1297 119 76.1034 4843.57 8103
3810.74 0.390001 -0.797603 0.102341 0.00796278 0.69861 0.710934 -0.0803345 8031.76 0 0 0 0 35289 0.866376 0.924693 12 1459 120 93.5517 4843.57 8103
3810.74 -0.28435 -0.856581 0.177665 -0.802772 0.0637637 0.17784 0.565565 0 0 0 0 0 0 0 0 0 0 0 0 4843.57 8103
3810.74 -0.282661 -0.868449 0.178803 -0.709265 0.0895735 0.166173 0.679196 20432.3 0 0 0 0 11190 0.930582 0.784483 40 3955 35 29.1724 4843.57 8103
3810.74 0.136391 -0.812268 0.441952 0.609714 -0.369521 -0.579782 -0.394404 8911.48 0 0 0 0 7632 0.952501 0.823165 14 1677 21 22.9483 4843.57 8103
3810.74 0.138856 -0.824054 0.442019 0.544026 -0.451972 -0.517949 -0.48113 10565.8 0 0 0 0 18774 0.90812 0.924138 16 1987 34 53.7931 4843.57 8103
