
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2618.71 0.88779 -0.0100041 0.102341 -0.359788 0.598892 0.563053 -0.441421 -56929.1 0 0 0 0.879474 33060 0.930739 0.929167 1 24 69 102.8 6732.5 12017 458416 0.717189 0.64914 7
2618.71 0.648812 -0.642763 0.178803 0.650784 0.295905 -0.49784 -0.490994 -53396.9 0 0 0 0.819774 26843 0.889458 0.961379 6 1239 331 75.3 6732.5 12017 458416 0.717189 0.41034 7
2618.71 0.634837 0.620689 0.102341 0.561587 -0.415619 -0.351269 0.62329 -20423.2 0 0 0 0.441505 32748 0.949514 0.960839 8 990 74 74.3 6732.5 12017 458416 0.27922 0.64914 7
2618.71 0.913282 0.00427768 0.178803 -0.488008 -0.522425 0.64784 0.263104 -18396.2 0 0 0 0.381805 29281 0.932642 0.944444 2 179 94 76 6732.5 12017 458416 0.27922 0.41034 7
2618.71 0.0100041 0.88779 0.102341 0.677889 -0.169072 -0.086007 0.71027 -101894 0 0 0 1.4048 14908 0.958302 0.904478 21 1634 50 36.7 6732.5 12017 458416 1.24252 0.64914 7
2618.71 0.642763 0.648812 0.178803 -0.250937 -0.66941 0.699212 -0.00484073 -93767.3 0 0 0 1.3451 31576 0.940074 0.946875 6 53 132 67.4 6732.5 12017 458416 1.24252 0.41034 7
2618.71 -0.620689 0.634837 0.102341 0.690989 0.103215 0.192348 0.689117 -143715 0 0 0 2.22175 27747 0.916899 0.836496 99 15631 262 79.7 6732.5 12017 458416 2.05946 0.64914 7
2618.71 -0.00427768 0.913282 0.178803 -0.0243364 0.714484 -0.644135 0.272049 -161691 0 0 0 2.16205 8011 0.938779 0.8 39 1339 68 27.6 6732.5 12017 458416 2.05946 0.41034 7
2618.71 -0.88779 0.0100041 0.102341 0.598892 0.359788 0.441421 0.563053 -161967 0 0 0 2.80136 49049 0.960665 0.82834 177 35611 107 144.7 6732.5 12017 458416 2.63907 0.64914 7
2618.71 -0.648812 0.642763 0.178803 -0.295905 0.650784 -0.490994 0.49784 -174697 0 0 0 2.74166 29699 0.892579 0.770629 144 19781 569 87.9 6732.5 12017 458416 2.63907 0.41034 7
2618.71 -0.634837 -0.620689 0.102341 0.415619 0.561587 0.62329 0.351269 -182207 0 0 0 2.96527 41131 0.812559 0.873892 177 15811 1033 228.6 6732.5 12017 458416 2.80299 0.64914 7
2618.71 -0.913282 -0.00427768 0.178803 -0.522425 0.488008 -0.263104 0.64784 -182416 0 0 0 2.90557 34971 0.999112 0.808 146 34210 0 89.4 6732.5 12017 458416 2.80299 0.41034 7
2618.71 -0.0100041 -0.88779 0.102341 0.169072 0.677889 0.71027 0.086007 -190288 0 0 0 2.5114 3838 0.738449 0.756522 44 1442 168 28.6 6732.5 12017 458416 2.34911 0.64914 7
2618.71 -0.642763 -0.648812 0.178803 -0.66941 0.250937 0.00484073 0.699212 -167413 0 0 0 2.4517 21295 0.843861 0.844156 92 9027 480 89 6732.5 12017 458416 2.34911 0.41034 7
2618.71 0.620689 -0.634837 0.102341 -0.103215 0.690989 0.689117 -0.192348 -130662 0 0 0 1.79069 27332 0.89781 0.940741 8 302 245 71.5 6732.5 12017 458416 1.62841 0.64914 7
2618.71 0.00427768 -0.913282 0.178803 -0.714484 -0.0243364 0.272049 0.644135 -131258 0 0 0 1.73099 6677 0.70827 0.957025 22 753 186 63.1 6732.5 12017 458416 1.62841 0.41034 7
