
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes
2041.64 -0.805546 -0.251887 0.201752 0.45447 0.530523 0.491036 0.520467 0.0101829 0 0 0 0 61331.2 391.826 25 3.82543e-18 2 1.26754e-91 5795.1 10579 212201 136751 286273
2041.64 -0.817652 0.00959786 0.44202 -0.0444056 0.705883 0.00530219 0.706915 0.120764 0 0 0 0.355316 47027.8 445.413 120 435.404 2 1.25116 5795.1 10579 212201 136751 286273
2041.64 -0.391496 -0.747718 0.201752 0.216853 0.664058 0.652832 0.292938 0.0688128 0 0 0 0.645977 34049.8 262.744 184 137.628 24 2.50232 5795.1 10579 212201 136751 286273
2041.64 -0.584954 -0.57138 0.44202 -0.311155 0.635158 0.275423 0.651075 0.0651372 0 0 0 0.45658 47333.1 342.818 136 161.4 12 2.50232 5795.1 10579 212201 136751 286273
2041.64 0.25189 -0.805546 0.201752 -0.0537778 0.696495 0.71524 0.0208111 0.0485029 0 0 0 1.19361 26233.3 192.678 154 72.5662 98 1.92041e-41 5795.1 10579 212201 136751 286273
2041.64 -0.009598 -0.817652 0.44202 0.530534 -0.467735 -0.503614 -0.496115 0.0385199 0 0 0 1.00566 20867.6 176.414 70 116.358 45 8.75813 5795.1 10579 212201 136751 286273
2041.64 0.74772 -0.391496 0.201752 -0.316221 0.622898 0.66876 -0.254484 0.0582946 0 0 0 1.55953 43621.2 297.776 238 2.50232 243 2.00664e-50 5795.1 10579 212201 136751 286273
2041.64 0.57138 -0.584954 0.44202 0.669144 -0.229104 -0.655133 -0.265626 0.0439364 0 0 0 1.43687 44893.1 275.256 123 42.5395 182 80.0743 5795.1 10579 212201 136751 286273
2041.64 0.80555 0.251887 0.201752 0.530523 -0.45447 -0.520467 0.491036 0.0371076 0 0 0 1.68802 55344 407.879 12 11.2605 318 382.855 5795.1 10579 212201 136751 286273
2041.64 0.81765 -0.00959786 0.44202 -0.705883 -0.0444056 0.706915 -0.00530219 0.0312391 0 0 0 1.65867 48366.1 352.828 13 5.00465 286 334.06 5795.1 10579 212201 136751 286273
2041.64 0.3915 0.747718 0.201752 0.664058 -0.216853 -0.292938 0.652832 0.0745933 0 0 0 1.55953 50128.6 367.841 292 5.00464 310 1.42106e-39 5795.1 10579 212201 136751 286273
2041.64 0.58495 0.57138 0.44202 -0.635158 -0.311155 0.651075 -0.275423 0.0383692 0 0 0 1.6337 60106.2 391.614 25 13.7628 310 349.074 5795.1 10579 212201 136751 286273
2041.64 -0.251887 0.805546 0.201752 0.696495 0.0537778 -0.0208111 0.71524 0.0337049 0 0 0 1.19361 26332.4 226.46 82 73.8185 63 31.279 5795.1 10579 212201 136751 286273
2041.64 0.0096 0.817652 0.44202 0.467735 0.530534 -0.496115 0.503614 0.0350052 0 0 0 1.36605 29916.3 261.493 65 35.0325 188 165.153 5795.1 10579 212201 136751 286273
2041.64 -0.747718 0.391496 0.201752 0.622898 0.316221 0.254484 0.66876 0.145788 0 0 0 0.645977 63785.3 546.758 158 515.479 10 2.50232 5795.1 10579 212201 136751 286273
2041.64 -0.57138 0.584954 0.44202 0.229104 0.669144 -0.265626 0.655133 0.0500419 0 0 0 0.90159 42631.5 339.065 60 165.153 37 31.279 5795.1 10579 212201 136751 286273
