
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43233e+09 0.303282 0.505816 0.201752 0.643418 0.27205 0.207267 0.684867 0.01338 0 0 0 0.98476 28.9366 0.625503 702 0.625503 107 0 38309.5 68248 1.52507e+06 889878 1.97077e+06 0.98476 0 4
1.43233e+09 0.504802 0.672881 0.44202 0.275172 0.651554 -0.310629 0.635033 -0.0440661 0 0 0 1.04667 0 0 424 0 28 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 0.98476 0.247656 7
1.43233e+09 0.14968 -0.134988 0.201752 0.490331 0.497567 0.453577 0.553417 -0.0780133 0 0 0 1.853 0 0 806 0 274 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 1.853 0 4
1.43233e+09 0.174043 0.125641 0.44202 0.00488714 0.707262 -0.0439674 0.705566 -0.08062 0 0 0 1.91491 0 0 554 0 123 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 1.853 0.247656 7
1.43233e+09 0.494184 -0.696718 0.201752 0.262597 0.647334 0.630834 0.337714 -0.123976 0 0 0 2.94472 0 0 367 0 348 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.94472 0 4
1.43233e+09 0.327119 -0.495198 0.44202 -0.266142 0.655295 0.229388 0.668684 0.0997271 0 0 0 3.00664 126.256 0.871026 588 0.871026 240 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.94472 0.247656 7
1.43233e+09 1.13499 -0.85032 0.201752 -0.00511636 0.69855 0.712052 0.0705973 0.016957 0 0 0 2.87757 76.672 0.625503 346 0.625503 532 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.87757 0 4
1.43233e+09 0.874359 -0.825957 0.44202 -0.496654 0.503565 0.467821 0.53 -0.123756 0 0 0 2.93949 0 0 166 0 574 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.87757 0.247656 7
1.43233e+09 1.69672 -0.505816 0.201752 -0.27205 0.643418 0.684867 -0.207267 0.103041 0 0 0 2.50594 117.053 0.625503 502 0.625503 662 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.50594 0 4
1.43233e+09 1.4952 -0.672881 0.44202 0.651554 -0.275172 -0.635033 -0.310629 -0.108109 0 0 0 2.56785 0 0 195 0 335 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 2.50594 0.247656 7
1.43233e+09 1.85032 0.134988 0.201752 -0.497567 0.490331 0.553417 -0.453577 0.0251779 0 0 0 1.853 56.6559 0.625503 324 0.625503 920 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 1.853 0 4
1.43233e+09 1.82596 -0.125641 0.44202 0.707262 -0.00488714 -0.705566 -0.0439674 -0.08062 0 0 0 1.91491 0 0 304 0 476 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 1.853 0.247656 7
1.43233e+09 1.50582 0.696718 0.201752 0.647334 -0.262597 -0.337714 0.630834 -0.0414595 0 0 0 0.98476 0 0 458 0 116 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 0.98476 0 4
1.43233e+09 1.67288 0.495198 0.44202 -0.655295 -0.266142 0.668684 -0.229388 0.0789809 0 0 0 1.04667 67.9005 0.660127 725 0.660127 212 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 0.98476 0.247656 7
1.43233e+09 1.12564 0.825957 0.44202 -0.503565 -0.496654 0.53 -0.467821 0.143357 0 0 0 0.061914 81.1765 0.625503 690 0.625503 107 0 37282.2 65670 1.72718e+06 989559 2.2094e+06 0 0.247656 3
