
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43275e+09 0.857814 0.849146 0.201752 0.698522 0.00807477 -0.067581 0.712345 0.105941 0 0 0 0.235757 22093.7 177.017 94 0 16 0 3418.3 6323 39577 28453.3 63283 0.030571 0.820743 7
1.43275e+09 1.11864 0.826992 0.44202 -0.501457 -0.498782 0.528014 -0.470062 0.125492 0 0 0 0.300233 26321.2 212.046 226 0 11 0 3418.3 6323 39577 28453.3 63283 0.030571 1.07865 7
1.43275e+09 0.299022 0.499897 0.201752 0.64226 0.274773 0.210166 0.683983 0.0174398 0 0 0 1.16212 11846.4 73.1839 37 0 51 0 3418.3 6323 39577 28453.3 63283 0.956935 0.820743 7
1.43275e+09 0.49912 0.668663 0.44202 0.272411 0.652714 -0.307937 0.636343 0.044699 0 0 0 1.2266 17565.4 115.718 57 0 19 0 3418.3 6323 39577 28453.3 63283 0.956935 1.07865 7
1.43275e+09 0.150854 -0.142186 0.201752 0.48822 0.499639 0.455917 0.551491 -0.0125883 0 0 0 2.02775 12412.7 52.5423 23 0 71 0 3418.3 6323 39577 28453.3 63283 1.82256 0.820743 7
1.43275e+09 0.173008 0.11864 0.44202 0.00189174 0.707276 -0.0409789 0.705746 -0.0332593 0 0 0 2.09222 8860 46.9127 23 0 42 0 3418.3 6323 39577 28453.3 63283 1.82256 1.07865 7
1.43275e+09 0.500103 -0.700978 0.201752 0.259853 0.64844 0.632258 0.335039 -0.0518258 0 0 0 3.13803 12954.8 47.5382 8 0 77 0 3418.3 6323 39577 28453.3 63283 2.93284 0.820743 7
1.43275e+09 0.331337 -0.50088 0.44202 -0.268915 0.654162 0.232218 0.667706 -0.0705406 0 0 0 3.2025 9797.04 35.6537 3 0 62 0 3418.3 6323 39577 28453.3 63283 2.93284 1.07865 7
1.43275e+09 1.14219 -0.849146 0.201752 -0.00807477 0.698522 0.712345 0.067581 -0.069686 0 0 0 3.07481 9015.87 38.1557 3 0 61 0 3418.3 6323 39577 28453.3 63283 2.86963 0.820743 7
1.43275e+09 0.88136 -0.826992 0.44202 -0.498782 0.501457 0.470062 0.528014 -0.0725938 0 0 0 3.13929 8923.79 38.1557 6 0 54 0 3418.3 6323 39577 28453.3 63283 2.86963 1.07865 7
1.43275e+09 1.70098 -0.499897 0.201752 -0.274773 0.64226 0.683983 -0.210166 -0.0449964 0 0 0 2.7097 11137.1 41.9087 17 0 55 0 3418.3 6323 39577 28453.3 63283 2.50452 0.820743 7
1.43275e+09 1.50088 -0.668663 0.44202 0.652714 -0.272411 -0.636343 -0.307937 -0.0504271 0 0 0 2.77418 10554.4 40.6577 11 0 68 0 3418.3 6323 39577 28453.3 63283 2.50452 1.07865 7
1.43275e+09 1.84915 0.142186 0.201752 -0.499639 0.48822 0.551491 -0.455917 -0.0394267 0 0 0 2.06489 7456.46 45.0362 46 0 33 0 3418.3 6323 39577 28453.3 63283 1.85971 0.820743 7
1.43275e+09 1.82699 -0.11864 0.44202 0.707276 -0.00189174 -0.705746 -0.0409789 -0.0640859 0 0 0 2.12937 3171.85 15.6376 6 0 18 0 3418.3 6323 39577 28453.3 63283 1.85971 1.07865 7
1.43275e+09 1.4999 0.700978 0.201752 0.64844 -0.259853 -0.335039 0.632258 0.0344845 0 0 0 1.20519 15432.1 105.085 93 0 17 0 3418.3 6323 39577 28453.3 63283 1 0.820743 7
1.43275e+09 1.66866 0.50088 0.44202 -0.654162 -0.268915 0.667706 -0.232218 -0.0186269 0 0 0 1.26967 5659.06 39.4067 49 0 15 0 3418.3 6323 39577 28453.3 63283 1 1.07865 7
