
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.4329e+09 0.178303 -0.25706 0.201752 0.4528 0.53195 0.49267 0.51892 0.0947847 0 0 0 0.0637289 36846.7 255.205 0 0 11 254.58 6745.41 11515 115300 70241.2 153121 0 0.254916 3
1.4329e+09 0.600741 -0.762796 0.201752 0.214764 0.664736 0.65375 0.290883 0.0529351 0 0 0 1.04849 16573.2 101.957 0 0 61 101.331 6745.41 11515 115300 70241.2 153121 0.98476 0.254916 7
1.4329e+09 0.406178 -0.587679 0.44202 -0.313151 0.634176 0.277469 0.650206 0.0605854 0 0 0 0.98476 25724.6 147.619 0 0 33 146.993 6745.41 11515 115300 70241.2 153121 0.98476 0 4
1.4329e+09 1.25706 -0.821697 0.201752 -0.0559676 0.696323 0.715302 0.018562 0.0688366 0 0 0 1.91673 21523 85.0684 0 0 136 85.0684 6745.41 11515 115300 70241.2 153121 1.853 0.254916 7
1.4329e+09 0.995656 -0.835447 0.44202 0.532002 -0.466065 -0.505171 -0.494529 0.0456584 0 0 0 1.853 11992 58.1718 0 0 94 58.1718 6745.41 11515 115300 70241.2 153121 1.853 0 4
1.4329e+09 1.7628 -0.399259 0.201752 -0.318179 0.621901 0.667957 -0.256585 0.0680429 0 0 0 2.56967 22252.6 82.5664 0 0 143 81.9409 6745.41 11515 115300 70241.2 153121 2.50594 0.254916 7
1.4329e+09 1.58768 -0.593822 0.44202 0.669861 -0.226999 -0.655965 -0.263565 0.0567197 0 0 0 2.50594 19278.2 70.6818 0 0 120 70.6818 6745.41 11515 115300 70241.2 153121 2.50594 0 4
1.4329e+09 1.8217 0.25706 0.201752 0.53195 -0.4528 -0.51892 0.49267 0.0617354 0 0 0 2.9413 19044.8 81.3154 0 0 128 81.3154 6745.41 11515 115300 70241.2 153121 2.87757 0.254916 7
1.4329e+09 1.83545 -0.00434401 0.44202 -0.70574 -0.046625 0.706895 -0.00752499 0.0589829 0 0 0 2.87757 18247.3 79.4389 0 0 121 79.4389 6745.41 11515 115300 70241.2 153121 2.87757 0 4
1.4329e+09 1.39926 0.762796 0.201752 0.664736 -0.214764 -0.290883 0.65375 0.0580955 0 0 0 3.00845 19306.2 79.4389 0 0 120 78.8134 6745.41 11515 115300 70241.2 153121 2.94472 0.254916 7
1.4329e+09 1.59382 0.587679 0.44202 -0.634176 -0.313151 0.650206 -0.277469 0.0486622 0 0 0 2.94472 16302.6 61.2993 0 0 111 60.0483 6745.41 11515 115300 70241.2 153121 2.94472 0 4
1.4329e+09 0.74294 0.821697 0.201752 0.696323 0.0559676 -0.018562 0.715302 0.0630406 0 0 0 2.7943 16067 109.463 0 0 100 109.463 6745.41 11515 115300 70241.2 153121 2.73057 0.254916 7
1.4329e+09 1.00434 0.835447 0.44202 0.466065 0.532002 -0.494529 0.505171 0.00513211 0 0 0 2.73057 3543.56 19.3906 0 0 20 19.3906 6745.41 11515 115300 70241.2 153121 2.73057 0 4
1.4329e+09 0.237204 0.399259 0.201752 0.621901 0.318179 0.256585 0.667957 0.0907921 0 0 0 2.36485 33734.5 253.954 0 0 22 253.329 6745.41 11515 115300 70241.2 153121 2.30112 0.254916 7
1.4329e+09 0.412321 0.593822 0.44202 0.226999 0.669861 -0.263565 0.655965 0.0659964 0 0 0 2.30112 22016.4 170.762 0 0 39 168.26 6745.41 11515 115300 70241.2 153121 2.30112 0 4
