
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.42792e+09 0.587902 -0.755937 0.201752 0.220376 0.662897 0.651267 0.2964 12.3548 0 0 0 0.228169 68211 0.920114 0.917073 72 3002 1217 222 16138.7 28877 678659 0.0229831 0.820743 7
1.42792e+09 0.396327 -0.577555 0.44202 -0.307778 0.636801 0.271962 0.652529 5.48568 0 0 0 0.292645 49175 0.772428 0.954545 22 52 2093 299 16138.7 28877 678659 0.0229831 1.07865 7
1.42792e+09 1.24313 -0.825926 0.201752 -0.050079 0.696771 0.71512 0.0246084 2.93126 0 0 0 1.20767 75147 0.944188 0.913978 104 11206 1361 202 16138.7 28877 678659 1.00249 0.820743 7
1.42792e+09 0.981532 -0.835254 0.44202 0.528043 -0.470546 -0.500972 -0.498782 2.6756 0 0 0 1.27215 73194 0.939162 0.918072 103 5894 1158 224.5 16138.7 28877 678659 1.00249 1.07865 7
1.42792e+09 1.75594 -0.412098 0.201752 -0.31291 0.624568 0.670102 -0.250929 2.33185 0 0 0 2.08004 65739 0.972057 0.828352 202 30297 430 152.9 16138.7 28877 678659 1.87485 0.820743 7
1.42792e+09 1.57755 -0.603673 0.44202 0.667918 -0.232654 -0.653714 -0.269101 1.77744 0 0 0 2.14451 65542 0.962071 0.867159 137 17797 566 153.5 16138.7 28877 678659 1.87485 1.07865 7
1.42792e+09 1.82593 0.243131 0.201752 0.528103 -0.45728 -0.523067 0.488265 2.9506 0 0 0 2.73406 101320 0.993557 0.77766 333 69394 443 229.8 16138.7 28877 678659 2.52887 0.820743 7
1.42792e+09 1.83525 -0.0184684 0.44202 -0.706109 -0.0406571 0.706933 -0.00154872 1.99259 0 0 0 2.79854 64443 0.994498 0.810039 239 50340 165 154.1 16138.7 28877 678659 2.52887 1.07865 7
1.42792e+09 1.4121 0.755937 0.201752 0.662897 -0.220376 -0.2964 0.651267 3.20556 0 0 0 3.10351 119691 0.98602 0.793289 428 78755 1162 269.7 16138.7 28877 678659 2.89833 0.820743 7
1.42792e+09 1.60367 0.577555 0.44202 -0.636801 -0.307778 0.652529 -0.271962 2.27968 0 0 0 3.16799 88704 0.997643 0.808219 287 77241 74 174 16138.7 28877 678659 2.89833 1.07865 7
1.42792e+09 0.756869 0.825926 0.201752 0.696771 0.050079 -0.0246084 0.71512 2.69021 0 0 0 3.16554 75063 0.961319 0.76908 454 34571 2129 314.5 16138.7 28877 678659 2.96035 0.820743 7
1.42792e+09 1.01847 0.835254 0.44202 0.470546 0.528043 -0.498782 0.500972 1.99909 0 0 0 3.23002 58265 0.987301 0.756364 325 42753 606 205.2 16138.7 28877 678659 2.96035 1.07865 7
1.42792e+09 0.244063 0.412098 0.201752 0.624568 0.31291 0.250929 0.670102 1.7743 0 0 0 2.94411 59499 0.906155 0.895793 265 7781 3479 341.2 16138.7 28877 678659 2.73892 0.820743 7
1.42792e+09 0.422445 0.603673 0.44202 0.232654 0.667918 -0.269101 0.653714 1.98928 0 0 0 3.00858 49715 0.908527 0.798821 341 8439 3811 305.7 16138.7 28877 678659 2.73892 1.07865 7
1.42792e+09 0.174074 -0.243131 0.201752 0.45728 0.528103 0.488265 0.523067 0.800555 0 0 0 2.50639 61535 0.854113 0.951639 27 418 1655 255.8 16138.7 28877 678659 2.30121 0.820743 7
1.42792e+09 0.164746 0.0184684 0.44202 -0.0406571 0.706109 0.00154872 0.706933 0.811844 0 0 0 2.57087 52121 0.814924 0.944051 52 294 6305 328.4 16138.7 28877 678659 2.30121 1.07865 7
