
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43232e+09 0.176704 -0.251892 0.201752 0.454469 0.530525 0.491037 0.520466 -93.6543 0 0 0 0.225252 91.4256 0.625503 169 0.625503 24 0 34420.2 61482 1.34401e+06 686749 1.66394e+06 0.0200663 0.820743 7
1.43232e+09 0.164597 0.00959304 0.44202 -0.0444077 0.705883 0.00530423 0.706915 -120.656 0 0 0 0.289729 0 0 177 0 11 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 0.0200663 1.07865 7
1.43232e+09 0.595956 -0.760273 0.201752 0.216851 0.664058 0.652833 0.292936 -487.816 0 0 0 1.17183 113.908 0.625503 329 0.625503 83 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 0.966649 0.820743 7
1.43232e+09 0.402497 -0.583936 0.44202 -0.311157 0.635157 0.275425 0.651075 -514.854 0 0 0 1.23631 0 0 197 0 56 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 0.966649 1.07865 7
1.43232e+09 1.25189 -0.823296 0.201752 -0.0537798 0.696495 0.715241 0.020809 -848.851 0 0 0 2.03834 0 0 378 0 319 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 1.83315 0.820743 7
1.43232e+09 0.990407 -0.835403 0.44202 0.530536 -0.467734 -0.503615 -0.496114 -875.702 0 0 0 2.10281 0 0 260 0 105 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 1.83315 1.07865 7
1.43232e+09 1.76027 -0.404044 0.201752 -0.316223 0.622897 0.668759 -0.254486 -1120.69 0 0 0 2.69129 48.8422 0.625503 172 0.625503 458 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.4861 0.820743 7
1.43232e+09 1.58394 -0.597503 0.44202 0.669145 -0.229102 -0.655134 -0.265624 -1147.62 0 0 0 2.75577 0 0 518 0 733 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.4861 1.07865 7
1.43232e+09 1.8233 0.251892 0.201752 0.530525 -0.454469 -0.520466 0.491037 -1276.26 0 0 0 3.06468 0 0 114 0 415 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.85949 0.820743 7
1.43232e+09 1.8354 -0.00959304 0.44202 -0.705883 -0.0444077 0.706915 -0.00530423 -1303.12 0 0 0 3.12915 0 0 135 0 236 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.85949 1.07865 7
1.43232e+09 1.40404 0.760273 0.201752 0.664058 -0.216851 -0.292936 0.652833 -1305.38 0 0 0 3.13505 118.706 0.625503 150 0.625503 646 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.92987 0.820743 7
1.43232e+09 1.5975 0.583936 0.44202 -0.635157 -0.311157 0.651075 -0.275425 -1332.42 0 0 0 3.19953 0 0 60 0 773 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.92987 1.07865 7
1.43232e+09 0.748108 0.823296 0.201752 0.696495 0.0537798 -0.020809 0.715241 -1218.14 0 0 0 2.9251 0 0 416 0 181 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.71991 0.820743 7
1.43232e+09 1.00959 0.835403 0.44202 0.467734 0.530536 -0.496114 0.503615 -1244.9 0 0 0 2.98958 50.5107 0.625503 680 0.625503 111 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.71991 1.07865 7
1.43232e+09 0.239727 0.404044 0.201752 0.622897 0.316223 0.254486 0.668759 -1041 0 0 0 2.5002 119.334 0.625503 132 0.625503 11 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.29502 0.820743 7
1.43232e+09 0.416064 0.597503 0.44202 0.229102 0.669145 -0.265624 0.655134 -1067.94 0 0 0 2.56468 64.0744 0.625503 385 0.625503 100 0 33686.1 59632 1.35597e+06 684174 1.67643e+06 2.29502 1.07865 7
