cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 8 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
4703.26 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 735 0.330743 0.79177 15 537 85 181.234 20747.1 35685 1.83818e+06
4703.26 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 24206 0.490578 0.869017 90 3610 1653 326.854 20747.1 35685 1.83818e+06
4703.26 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 7312 0.419453 0.905918 132 2415 1193 250.545 20747.1 35685 1.83818e+06
4703.26 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0 0 0 0 0 9637 0.387006 0.838418 171 7381 558 193.403 20747.1 35685 1.83818e+06
4703.26 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 10858 0.559743 0.852363 79 3283 361 143.455 20747.1 35685 1.83818e+06
4703.26 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 19082 0.557266 0.805528 85 3157 491 263.381 20747.1 35685 1.83818e+06
4703.26 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 15773 0.44569 0.857433 16 555 1572 291.926 20747.1 35685 1.83818e+06
4703.26 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 26479 0.681228 0.904902 103 1652 1138 192.19 20747.1 35685 1.83818e+06
4703.27 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 21707 0.52998 0.852854 84 2086 665 204.192 20747.1 35685 1.83818e+06
4703.27 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0 0 0 0 0 3694 0.444763 0.840702 12 195 745 163.461 20747.1 35685 1.83818e+06
4703.27 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0 0 0 0 0 15773 0.520474 0.877726 8 424 742 186.859 20747.1 35685 1.83818e+06
4703.27 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0 0 0 0 0 26484 0.555503 0.877418 14 643 1157 240.794 20747.1 35685 1.83818e+06
4703.27 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0 0 0 0 0 26102 0.546243 0.90339 21 211 1762 240.158 20747.1 35685 1.83818e+06
4703.27 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0 0 0 0 0 19109 0.562831 0.826438 39 1969 2892 300.432 20747.1 35685 1.83818e+06
4703.27 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0 0 0 0 0 8813 0.424041 0.861731 42 1397 627 253.834 20747.1 35685 1.83818e+06
4703.27 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0 0 0 0 0 10373 0.575403 0.931298 18 396 793 99.9237 20747.1 35685 1.83818e+06
