cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
5503.14 -0.803949 -0.227281 0.44202 -0.144898 0.692277 0.106344 0.698891 292839 7393.56 63425.3 88320.1 3.21654 60822 0.99926 0.833929 219 58239 0 130.6 7012.2 12916 2.94688 1.07865 7
5609.79 0.688623 0.560419 0.102341 0.542098 -0.440737 -0.37926 0.606665 143059 0 37874.4 30627.8 3.02212 96850 0.957719 0.9096 209 28131 631 272.6 15681.3 28586 2.87757 0.578175 7
5730.32 0.191112 -0.81647 0.18225 -0.705334 -0.120543 0.114558 0.689094 55955.7 4209.1 26866.3 16049.4 1.98486 17765 0.601669 0.881887 249 10443 1811 243.19 18086.9 32619 1.853 0.527421 7
5863.25 -0.227281 0.803949 0.44202 0.387056 0.591972 -0.418994 0.569387 39874.6 255.377 19120.6 10088.1 2.97805 76603 0.807994 0.879449 213 7453 811 293.024 19675.5 34776 2.73057 0.989926 7
5993.58 0.560419 -0.688623 0.102341 -0.0716736 0.694969 0.697154 -0.1608 45766.8 9206.49 15173.9 10784.2 3.02212 52559 0.651102 0.86554 254 8251 2459 349.414 25742.6 46176 2.87757 0.578175 7
6111.72 0.883206 -0.0906539 0.102341 -0.332171 0.61464 0.582551 -0.415349 16028.7 175.795 7484.41 2952.62 0.98476 46368 0.673644 0.918407 83 2726 1248 275.806 27011.4 48335 0.98476 0 4
6205.12 -0.883206 0.0906539 0.102341 0.61464 0.332171 0.415349 0.582551 21460.9 9408.74 7408.9 3427.69 2.87757 52751 0.742321 0.858223 36 4007 554 262.038 27596.2 48792 2.87757 0 4
6315.38 -0.407766 -0.72919 0.44202 -0.398791 0.584131 0.365703 0.604995 12460.6 1395.31 7002.64 2424.77 2.97805 8855 0.405583 0.881153 58 2174 614 245.587 27991.5 48732 2.73057 0.989926 7
6423.73 0.0906539 0.883206 0.102341 0.669496 -0.199736 -0.11823 0.705622 12429.7 1740.01 5995.91 2191.25 3.02212 42559 0.667121 0.915869 108 1896 1641 310.062 31056.2 54005 2.87757 0.578175 7
6534.37 -0.0906539 -0.883206 0.102341 0.199736 0.669496 0.705622 0.11823 9046.23 415.802 5377.29 1797.06 2.87757 17230 0.480931 0.897189 65 1383 1023 334.152 31947 55415 2.87757 0 4
6632.37 -0.72919 0.407766 0.44202 0.131055 0.695031 -0.169205 0.686387 8844.6 457.288 4863.93 1675.94 2.97805 14726 0.476745 0.800516 45 1499 400 323.861 32420.6 55869 2.73057 0.989926 7
6722.85 -0.560419 0.688623 0.102341 0.694969 0.0716736 0.1608 0.697154 10895 2882.72 4880.03 1942.8 1.1293 48954 0.648398 0.804742 58 1719 1301 305.986 33541.3 57195 0.98476 0.578175 7
6806.58 0.442195 0.712468 0.18225 0.158552 0.697774 -0.680479 -0.157867 8360.18 1094.11 4627.77 1613.63 1.11662 8737 0.396908 0.869213 84 1088 1627 438.18 33750.1 57356 0.98476 0.527421 7
6910.03 0.699073 0.587706 0.178803 -0.28113 -0.657302 0.698708 0.0269729 6653.02 399.706 4258.97 1307.67 1.853 7027 0.391046 0.864123 81 836 1380 255.572 34365.2 58136 1.853 0 4
6990.9 -0.848208 0.162714 0.403763 0.51078 0.477247 0.262077 0.665323 6181.54 236.903 4114.7 1162.29 2.04465 26803 0.550616 0.673909 32 1009 401 238.033 35431.4 59782 1.853 0.766596 7
7072.97 0.90989 -0.0787481 0.178803 -0.511269 -0.499684 0.6352 0.292304 5439.32 128.103 3768.18 1054.01 2.78852 5309 0.419384 0.842749 90 625 1159 283.527 35854.2 60197 2.50594 1.13031 7
7161.45 -0.688623 -0.560419 0.102341 0.440737 0.542098 0.606665 0.37926 5433.36 73.8031 3516.22 1124.99 3.14647 32519 0.502385 0.832299 53 397 2344 422.708 36723.3 61257 2.87757 1.07561 7
7244.61 -0.0787481 -0.90989 0.178803 -0.714851 0.0081921 0.242464 0.655844 5356.61 125.142 3348.29 996.632 2.2239 1598 0.284419 0.844587 44 860 161 253.036 36882.7 60972 1.853 1.48361 7
7320.14 0.162714 0.848208 0.403763 0.69864 -0.0237116 -0.285138 0.655771 5428.04 432.801 3184.44 962.249 2.69759 31504 0.592735 0.796581 21 795 682 267.159 37541.9 61931 2.50594 0.766596 7
7403.84 -0.90989 0.0787481 0.178803 -0.499684 0.511269 -0.292304 0.6352 4861.75 958.222 2915.16 802.742 3.2273 6357 0.351664 0.635595 36 658 740 333.597 38659 63862 2.94472 1.13031 7
7480.82 0.81647 0.191112 0.18225 0.413509 0.583983 -0.568267 -0.406258 3781.58 0 2632.14 733.468 3.15074 3098 0.294786 0.797213 40 389 771 466.681 39419.8 64819 2.87757 1.09267 7
7565.51 0.0787481 0.90989 0.178803 0.0081921 0.714851 -0.655844 0.242464 3892.17 732.68 2318.01 655.765 3.2273 4768 0.365132 0.842736 39 381 1106 264.435 40145 65748 2.94472 1.13031 7
7634.21 -0.162714 -0.848208 0.403763 0.0237116 0.69864 0.655771 0.285138 3159.89 171.069 2178.3 525.853 3.13637 760 0.27833 0.681471 13 491 80 218.876 41231.9 67467 2.94472 0.766596 7
7723.64 -0.712468 0.442195 0.18225 -0.381287 0.605514 -0.5928 0.369542 3138.41 138.596 2236.33 529.029 2.89472 1945 0.282801 0.615179 15 352 470 525.539 41244.7 66988 2.73057 0.656589 7
7794.6 0.803949 0.227281 0.44202 -0.692277 -0.144898 0.698891 -0.106344 2823.18 48.0958 2124.38 458.024 2.66515 1028 0.258345 0.742892 19 401 24 327.477 41551.4 67220 2.50594 0.636835 7
7855.14 -0.699073 -0.587706 0.178803 -0.657302 0.28113 -0.0269729 0.698708 2830.11 165.912 1944.09 478.403 2.71046 2987 0.35626 0.65367 30 237 797 370.914 42042.5 67648 2.50594 0.818075 7
7915.99 -0.484717 0.71483 0.403763 0.654533 0.245451 -0.0124809 0.714971 2544.63 141.401 1784.84 386.531 3.13637 1869 0.33009 0.624306 12 337 190 297.15 42250 67829 2.94472 0.766596 7
7975.04 -0.587706 0.699073 0.178803 -0.265993 0.663572 -0.513134 0.474988 2191.99 26.0445 1671.89 353.084 1.26734 7369 0.337193 0.79309 12 57 1082 368.108 42757.5 68576 0.98476 1.13031 7
8019.95 0.407766 0.72919 0.44202 -0.584131 -0.398791 0.604995 -0.365703 2176.4 9.80318 1683.99 359.242 2.01221 1296 0.360976 0.727467 7 255 139 363.308 43020.1 68755 1.853 0.636835 7
8067.43 0.227281 -0.803949 0.44202 0.591972 -0.387056 -0.569387 -0.418994 2253.64 301.515 1676.37 337.751 2.50594 492 0.252471 0.697905 23 288 48 301.435 43385.9 69180 2.50594 0 4
8113.91 0.848208 -0.162714 0.403763 -0.477247 0.51078 0.665323 -0.262077 2284.13 216.012 1710.32 429.176 1.13841 347 0.256048 0.634605 11 326 16 265.569 44576.7 70805 0.98476 0.614611 7
8151.61 -0.81647 -0.191112 0.18225 -0.583983 0.413509 -0.406258 0.568267 1899.74 280.047 1421.89 300.453 2.67009 1268 0.286343 0.596306 18 126 350 531.298 45358.5 72034 2.50594 0.656589 7
8191.59 0.587706 -0.699073 0.178803 -0.663572 -0.265993 0.474988 0.513134 1564.53 105.702 1311.28 242.085 0.204519 1062 0.262782 0.757434 12 106 270 325.552 45804.6 72548 0 0.818075 3
8220.03 0.712468 -0.442195 0.18225 -0.605514 -0.381287 0.369542 0.5928 1743.98 316.444 1303.26 301.752 0.273167 498 0.254561 0.677304 13 136 172 488.075 46251.6 73049 0 1.09267 3
8267.16 -0.71483 -0.484717 0.403763 0.289265 0.636385 0.496736 0.514386 1321.27 169.798 1044.52 216.798 2.87757 245 0.277205 0.536816 11 135 38 284.589 47154.5 74517 2.87757 0 4
8306.84 0.72919 -0.407766 0.44202 0.695031 -0.131055 -0.686387 -0.169205 1141.97 172.718 941.995 175.465 2.75775 143 0.272042 0.609222 5 88 23 349.085 47791.8 75471 2.50594 1.00726 7
8337.43 0.71483 0.484717 0.403763 0.636385 -0.289265 -0.514386 0.496736 979.353 0 846.13 133.223 1.13841 7454 0.328183 0.545878 8 38 146 330.086 47937.2 75330 0.98476 0.614611 7
8360.99 0.484717 -0.71483 0.403763 -0.245451 0.654533 0.714971 0.0124809 710.283 0 710.283 0 1.853 163 0.250499 0.558546 2 25 19 276.759 47897.7 74914 1.853 0 4
