cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
3851.4 0.785673 0.388897 0.103551 0.399164 -0.427487 -0.51553 0.62622 0 -2.39573e-311 0 0 0 36497 0.836243 0.963636 10 513 464 136.8 4510.9 8103 194122
3921.59 0.477918 0.670803 0.441952 -0.574721 -0.421893 0.586255 -0.384717 0 0 0 0 0 36776 0.847727 0.944 6 220 109 132 6223.98 10867 401610
4033.47 -0.797603 -0.390001 0.102341 0.499622 0.488361 0.559511 0.445901 0 -4.82407e+228 0 0 0 65640 0.893696 0.7909 286 26783 425 196.479 12786.7 22744 899162
4156.81 -0.839763 0.288218 0.102341 0.648479 0.25999 0.346282 0.626075 0 -2.40618e+107 0 0 0 40793 0.813923 0.972093 33 1197 622 176.8 16948.4 30560 1.1853e+06
4286.87 -0.388897 0.785673 0.103551 0.584531 -0.0200275 0.0782696 0.807339 0 0 0 0 0 10927 0.557907 0.911489 55 4776 250 127.9 17572.7 31120 1.3689e+06
4422.35 0.80676 0.404629 0.177665 0.366118 0.717264 -0.59057 -0.0521301 0 -1.51829e+06 0 0 0 31540 0.703019 0.960129 39 1348 940 161.7 18587.1 32574 1.51829e+06
4556.7 0.824054 0.138856 0.442019 -0.704277 -0.0650913 0.706455 -0.026035 0 0 0 0 0 43785 0.700477 0.888344 24 775 635 257.348 18853.4 32866 1.59315e+06
4703.26 0.414215 -0.813958 0.178803 -0.689553 -0.188669 0.413441 0.563903 0 -9.85217e-265 0 0 0 9637 0.387006 0.838418 171 7381 558 193.403 20747.1 35685 1.83818e+06
4848.77 0.136391 -0.812268 0.441952 0.609714 -0.369521 -0.579782 -0.394404 0 -nan 0 0 0 9140 0.533267 0.922821 43 1499 582 166.424 22497.5 38617 1.88484e+06
5011.18 -0.484508 -0.68088 0.442019 -0.329652 0.625758 0.294402 0.642717 0 0 0 0 0 15645 0.504799 0.892448 47 1225 639 265.259 25720.6 44056 2.15039e+06
5180.76 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 0 -3.64271e-314 0 0 0 25382 0.576951 0.843103 174 9798 1039 320.46 27917.9 47636 2.39137e+06
5350.78 0.812268 0.136391 0.441952 0.692424 0.169842 -0.688854 0.131082 0 -9.44394e-265 0 0 0 1330 0.304301 0.840715 19 116 329 196.499 30858.6 52705 2.55426e+06
5524.46 -0.80676 -0.404629 0.177665 -0.717264 0.366118 -0.0521301 0.59057 0 -8.28911e-317 0 0 0 10550 0.450133 0.928557 56 962 924 199.824 32376.8 54936 2.58638e+06
5687.8 0.484508 0.68088 0.442019 -0.625758 -0.329652 0.642717 -0.294402 0 -4.24399e-314 0 0 0 16245 0.485423 0.816765 25 562 2731 337.222 32495.4 55000 2.61884e+06
5850.98 0.868449 -0.282661 0.178803 -0.564864 -0.438188 0.597766 0.362762 0 0 0 0 0 18298 0.449473 0.846401 37 376 1288 284.362 33139.6 55746 2.60274e+06
6005.44 0.388897 -0.785673 0.103551 0.0200275 0.584531 0.807339 -0.0782696 0 0 0 0 0 194 0.256646 0.750013 4 117 16 152.498 33366.8 55985 2.59258e+06
6155.24 -0.288218 -0.839763 0.102341 0.274703 0.642384 0.68756 0.197843 0 0 0 0 0 6374 0.356972 0.827791 86 634 1119 376.865 33429.1 55989 2.56154e+06
6296.74 -0.280563 -0.830547 0.103551 0.242193 0.532372 0.775837 0.236644 0 0 0 0 0 379 0.259053 0.706663 6 346 13 128.687 33500.4 55733 2.50139e+06
6433.99 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0 -7.00259e-313 0 0 0 615 0.304751 0.811451 20 403 86 108.158 33653 55638 2.45284e+06
6566.22 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0 0 0 0 0 9941 0.437949 0.874837 33 278 1080 252.599 33942.1 55797 2.41371e+06
