cost_weight: 1
information_weight: 0
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2014.14 -0.280303 -0.869214 0.178803 -0.709385 0.0886107 0.167095 0.67897 -0.12126 0.0015 -0.672423 0.352872 0.12126 29212 0.939699 0.951429 7 601 97 73.4 6996 12462 495109 0.0186754 0.41034 7
2059.57 -0.282023 -0.85735 0.177665 -0.802858 0.062674 0.178607 0.565323 -0.0015 0.204015 -0.666407 0.35217 0.0015 25453 0.85679 0.968539 3 5 721 91.8 9466.58 16803 976854 0 0.006 1
2104.73 0.138595 -0.811895 0.441952 0.610215 -0.368694 -0.580317 -0.393617 -0.205515 0.0015 -0.680862 0.341907 0.205515 42908 0.72964 0.908046 3 3 652 183.448 11277.7 19711 1.2108e+06 0 0.822059 3
2158.22 0.141092 -0.823674 0.442019 0.544639 -0.451234 -0.518602 -0.480426 -0.0015 0.122484 -0.631692 0.340131 0.0015 35242 0.615778 0.880089 4 7 557 234.621 15324.8 26517 1.47745e+06 0 0.006 1
2217.25 0.392165 -0.796541 0.102341 0.00701452 0.69862 0.710824 -0.0812994 -0.123984 0.0015 -0.646014 0.330284 0.123984 53524 0.777607 0.87956 14 1146 228 195.517 19253.3 32913 1.79977e+06 0 0.495936 3
2273.45 0.391029 -0.784615 0.103551 0.0192341 0.584558 0.807232 -0.0793654 -0.0015 0.217893 -0.731732 0.356656 0.0015 17436 0.57935 0.744077 0 0 682 126.848 19812.9 33686 1.85676e+06 0 0.006 1
2328.2 -0.278308 -0.831305 0.103551 0.241471 0.5327 0.776157 0.23559 -0.219393 1.11022e-16 -0.749119 0.342394 0.219393 11622 0.475094 0.68894 0 0 297 123.895 20070 33900 1.82764e+06 0.219393 0 4
2389.89 -0.285937 -0.840543 0.102341 0.273831 0.642757 0.687828 0.19691 -0.0015 0.180243 -0.863709 0.450509 0.0015 39670 0.605006 0.793665 21 1156 724 253.33 20390.3 34196 1.90116e+06 0 0.006 1
2445.73 -0.482658 -0.682193 0.442019 -0.330501 0.62531 0.295274 0.642316 -0.181743 0.0015 -0.885264 0.434721 0.181743 31557 0.550495 0.693865 12 290 807 259.268 20657.3 34322 1.91525e+06 0 0.726972 3
2513.57 -0.476095 -0.672098 0.441952 -0.422672 0.574148 0.385512 0.585733 -0.0015 0.192316 -0.817302 0.418925 0.0015 29980 0.494252 0.754406 8 77 403 268.426 23858.8 39854 2.1737e+06 0 0.006 1
