average_cost_retrieval_time_per_view average_information_retrieval_time_per_view
0.001875 0.4925
0.00246809 0.718064
0.00180435 0.802804
0.00131111 0.898422
0.00143182 1.07289
0.0025814 1.08981
0.0017381 1.12357
0.000853659 1.22137
0.002175 1.20032
0.00105128 1.42692
0.00218421 1.44766
0.00240541 1.56146
0.000472222 1.448
0.00114286 1.53703
0.00114706 1.53182
0.00154545 1.64361
0.003375 1.48459
0.00103226 1.70077
0.00236667 1.44027
0.00162069 1.60638
0.00132143 1.57611
0.00225926 1.57022
0.00153846 1.65323
0.00176 1.66484
0.003875 1.75133
0.00126087 1.72891
0.00172727 1.74455
0.00104762 1.69805
0.0003 1.6696
