cost_weight: 1.2
information_weight: 1
IgnorantTotalIG weight: 0.25
OccupancyAwareTotalIG weight: 0.5
ClassicFrontier weight: 0
TotalUnknownIG weight: 0.5
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeIG weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43275e+09 0.595948 -0.760268 0.201752 0.216855 0.664057 0.652831 0.292939 0.917029 0.924127 -0.0125 0.242147 2.49784 106.696 0.625503 4 0 93 0.625503 3777.7 6367 35460 25830.1 52415 2.29265 0.820743 7
1.43275e+09 0.176701 -0.251883 0.201752 0.454472 0.530522 0.491034 0.520468 -nan -nan -nan -nan 2.30112 0 0 116 0 59 0 5441.69 9219 82199 56171.9 117693 2.30112 0 4
1.43275e+09 0.164597 0.0096027 0.44202 -0.0444036 0.705883 0.00530014 0.706915 -nan -nan -nan -nan 0.061914 0 0 241 0 60 0 9472.01 16615 152827 96754.5 207971 0 0.247656 3
1.43275e+09 0.402491 -0.583929 0.44202 -0.311153 0.635159 0.275421 0.651076 -nan -nan -nan -nan 2.30112 0 0 192 0 31 0 11200.1 19537 191393 117524 256292 2.30112 0 4
1.43275e+09 1.25188 -0.823299 0.201752 -0.0537758 0.696496 0.71524 0.0208131 -nan -nan -nan -nan 1.04849 0 0 109 0 53 0 11526.8 19966 217032 129773 287476 0.98476 0.254916 7
1.43275e+09 0.990397 -0.835403 0.44202 0.530533 -0.467737 -0.503612 -0.496117 -nan -nan -nan -nan 0.061914 0 0 260 0 57 0 12318.9 20988 289276 168406 381817 0 0.247656 3
1.43275e+09 1.76027 -0.404052 0.201752 -0.31622 0.622899 0.668761 -0.254482 -nan -nan -nan -nan 1.04849 0 0 75 0 74 0 13356.5 22301 354107 200103 457074 0.98476 0.254916 7
1.43275e+09 1.58393 -0.597509 0.44202 0.669144 -0.229106 -0.655133 -0.265628 -nan -nan -nan -nan 0.061914 0 0 193 0 78 0 15220.2 25658 393871 226144 513458 0 0.247656 3
1.43275e+09 1.8233 0.251883 0.201752 0.530522 -0.454472 -0.520468 0.491034 -nan -nan -nan -nan 1.04849 0 0 77 0 52 0 17193.5 28596 481673 274611 619179 0.98476 0.254916 7
1.43275e+09 1.8354 -0.0096027 0.44202 -0.705883 -0.0444036 0.706915 -0.00530014 -nan -nan -nan -nan 0.061914 0 0 110 0 39 0 18421.1 29806 517945 284176 662083 0 0.247656 3
1.43275e+09 1.40405 0.760268 0.201752 0.664057 -0.216855 -0.292939 0.652831 -nan -nan -nan -nan 1.04849 0 0 37 0 102 0 19530.6 31537 563578 307918 718278 0.98476 0.254916 7
1.43275e+09 1.59751 0.583929 0.44202 -0.635159 -0.311153 0.651076 -0.275421 -nan -nan -nan -nan 0.061914 0 0 88 0 38 0 22438.2 36734 614181 341229 788673 0 0.247656 3
1.43275e+09 0.748117 0.823299 0.201752 0.696496 0.0537758 -0.0208131 0.71524 -nan -nan -nan -nan 1.04849 0 0 283 0 93 0 22303.4 36218 648285 357977 827981 0.98476 0.254916 7
1.43275e+09 1.0096 0.835403 0.44202 0.467737 0.530533 -0.496117 0.503612 -nan -nan -nan -nan 0.061914 0 0 96 0 20 0 22973.8 37045 706391 388456 898942 0 0.247656 3
1.43275e+09 0.239732 0.404052 0.201752 0.622899 0.31622 0.254482 0.668761 -nan -nan -nan -nan 1.04849 0 0 389 0 66 0 23617.9 38190 730395 399252 928036 0.98476 0.254916 7
1.43275e+09 0.416071 0.597509 0.44202 0.229106 0.669144 -0.265628 0.655133 -nan -nan -nan 0 0.061914 0 0 302 0 18 0 24511.9 39780 749817 409351 952892 0 0.247656 3
