cost_weight: 1
information_weight: 0
IgnorantTotalIG weight: 0.25
OccupancyAwareTotalIG weight: 0.5
ClassicFrontier weight: 0
TotalUnknownIG weight: 0.5
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeIG weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43282e+09 0.176704 -0.251893 0.201752 0.454468 0.530525 0.491037 0.520465 -0.00610884 0 -0.0625 0.0267913 0.220346 11250.3 86.9449 39 0 11 86.9449 3222.2 5786 17816 14758.3 31028 0.0151602 0.820743 7
1.43282e+09 0.164597 0.00959243 0.44202 -0.0444079 0.705883 0.00530448 0.706915 -0.00188242 0 -0.0666667 0.0256652 0.061914 42512 402.824 193 0 20 402.824 6236.37 11353 57045 41608.3 87723 0 0.247656 3
1.43282e+09 0.402498 -0.583937 0.44202 -0.311157 0.635157 0.275425 0.651074 -0.0299853 0.0019405 -0.0714286 0.0196408 0.98476 30263.4 190.153 200 0 45 185.149 6809.7 12430 87849 57316.7 124943 0.98476 0 4
1.43282e+09 0.595957 -0.760273 0.201752 0.216851 0.664058 0.652833 0.292935 -0.00225675 0 -0.0769231 0.0320349 0.0637289 14156.9 96.3275 107 0 44 96.3275 6976.33 12583 104668 65736.4 145270 0 0.254916 3
1.43282e+09 1.25189 -0.823296 0.201752 -0.0537801 0.696495 0.715241 0.0208087 -0.0349644 0 -0.0833333 0.0247307 0.98476 24229.6 98.8295 87 4.37852 25 68.8053 7840.26 13814 142165 86542.2 191607 0.98476 0 4
1.43282e+09 0.990408 -0.835403 0.44202 0.530536 -0.467734 -0.503615 -0.496114 -0.00272707 0 -0.0909091 0.0416095 0.061914 30955.4 149.495 117 6.25503 37 92.5744 9703.78 17203 177372 107346 238539 0 0.247656 3
1.43282e+09 1.58394 -0.597502 0.44202 0.669145 -0.229102 -0.655134 -0.265624 -0.043476 0.00281356 -0.1 0.0324673 0.98476 21316.7 80.6899 92 0.625503 34 46.9127 10215 17935 207245 121588 274296 0.98476 0 4
1.43282e+09 1.76027 -0.404043 0.201752 -0.316224 0.622897 0.668759 -0.254486 -0.00380217 0 -0.111111 0.0554705 0.0637289 18525.7 72.5584 78 0.625503 23 36.2792 11283.3 19802 252340 146559 331079 0 0.254916 3
1.43282e+09 1.8233 0.251893 0.201752 0.530525 -0.454468 -0.520465 0.491037 -0.0590023 0 -0.125 0.0431019 0.98476 15143.5 70.0563 64 4.37852 29 51.9168 12241.4 21214 288808 165815 377161 0.98476 0 4
1.43282e+09 1.8354 -0.00959243 0.44202 -0.705883 -0.0444079 0.706915 -0.00530448 -0.00566197 0 -0.142857 0.0769866 0.061914 20437.9 89.4469 106 11.2591 41 37.5302 13194.9 22718 328071 189011 429289 0 0.247656 3
1.43282e+09 1.5975 0.583937 0.44202 -0.635157 -0.311157 0.651074 -0.275425 -0.0905228 0.0058582 -0.166667 0.0573515 0.98476 17046.6 69.4308 72 13.7611 22 19.3906 13630 23294 340780 194665 444150 0.98476 0 4
1.43282e+09 1.40404 0.760273 0.201752 0.664058 -0.216851 -0.292935 0.652833 -0.0108628 0 -0.2 0.11553 0.0637289 22179.4 100.706 128 9.38255 39 49.4147 14186.7 24340 356499 203752 464413 0 0.254916 3
1.43282e+09 0.748107 0.823296 0.201752 0.696495 0.0537801 -0.0208087 0.715241 -0.169805 0 -0.25 0.0750468 0.98476 29282.4 210.795 228 10.008 63 164.507 15167.2 26004 377930 216451 491178 0.98476 0 4
1.43282e+09 1.00959 0.835403 0.44202 0.467734 0.530536 -0.496114 0.503615 -0.0295765 0 -0.333333 0.215128 0.061914 13191.1 71.9328 90 6.88053 28 28.7731 15321.8 26025 401914 228310 519673 0 0.247656 3
1.43282e+09 0.416063 0.597502 0.44202 0.229102 0.669145 -0.265624 0.655134 -0.484328 0.0313434 -0.5 0.0156717 0.98476 30601.9 208.293 206 38.7812 48 48.1637 15430.6 25950 413184 232899 532508 0.98476 0 4
1.43282e+09 0.239727 0.404043 0.201752 0.622897 0.316224 0.254486 0.668759 -1 0 -1 0 0.0637289 43647.5 387.186 451 37.5302 73 116.344 15338.4 25466 417361 233845 536648 0 0.254916 3
