cost_weight: 0
information_weight: 1
IgnorantTotalIG weight: 0
OccupancyAwareTotalIG weight: 1
ClassicFrontier weight: 0
TotalUnknownIG weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeIG weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43283e+09 0.164597 0.00958821 0.44202 -0.0444097 0.705883 0.00530627 0.706915 0.189139 0.0608614 0.0625 0.0444871 0.274385 32393.6 252.703 0 0 16 252.703 4292.1 7557 34779 26272.1 53544 0.00472244 1.07865 7
1.43283e+09 0.176705 -0.251897 0.201752 0.454467 0.530526 0.491039 0.520464 0.184025 0 0.0666667 0.043216 0.0637289 34973.8 260.835 0 0 12 260.835 5891.37 9940 82382 51441 112160 0 0.254916 3
1.43283e+09 0.239725 0.404039 0.201752 0.622896 0.316225 0.254488 0.668759 0.16484 0.0383562 0.0714286 0.0346996 2.30112 35738.6 225.807 0 23.1436 17 117.595 6900.63 11543 119398 70480.2 158978 2.30112 0 4
1.43283e+09 0.402501 -0.58394 0.44202 -0.311159 0.635156 0.275427 0.651074 0.129919 0.0128023 0.0769231 0.0279529 2.79249 26725.5 171.388 0 3.12752 26 90.6979 8102 13580 159753 92718.3 211835 2.73057 0.247656 7
1.43283e+09 0.595961 -0.760275 0.201752 0.216849 0.664059 0.652834 0.292934 0.123601 0 0.0833333 0.0263786 0.0637289 23183.8 158.878 0 8.13154 44 131.981 9263.38 15566 184274 107689 244608 0 0.254916 3
1.43283e+09 1.2519 -0.823295 0.201752 -0.0537818 0.696495 0.715241 0.0208069 0.135668 0 0.0909091 0.026895 0.98476 37324.7 172.013 0 15.6376 77 130.105 10369.4 17354 218421 127527 287917 0.98476 0 4
1.43283e+09 0.990412 -0.835403 0.44202 0.530537 -0.467732 -0.503617 -0.496112 0.160406 0 0.1 0.0288912 0.061914 36968.1 197.659 0 18.1396 26 113.216 12376 20704 258353 150427 340065 0 0.247656 3
1.43283e+09 0.748103 0.823295 0.201752 0.696495 0.0537818 -0.0208069 0.715241 0.15625 0.000600962 0.111111 0.0259389 2.9413 26965 162.631 0 6.88053 126 139.487 13279.3 21999 284123 162912 371666 2.87757 0.254916 7
1.43283e+09 0.41606 0.597499 0.44202 0.2291 0.669146 -0.265622 0.655135 0.195695 0.0632746 0.125 0.0306813 1.04667 33380.4 187.651 0 8.75704 23 117.595 14651.3 24742 334975 192286 436474 0.98476 0.247656 7
1.43283e+09 1.58394 -0.597499 0.44202 0.669146 -0.2291 -0.655135 -0.265622 0.16653 0.00328138 0.142857 0.0205411 2.87757 30175.7 126.977 0 3.12752 45 81.3154 15091.4 25330 343351 196349 447051 2.87757 0 4
1.43283e+09 1.00959 0.835403 0.44202 0.467732 0.530537 -0.496112 0.503617 0.192118 0.00492611 0.166667 0.0211721 2.50594 23221.2 121.973 0 4.37852 81 108.212 16149.5 27276 365265 207552 474726 2.50594 0 4
1.43283e+09 1.76028 -0.404039 0.201752 -0.316225 0.622896 0.668759 -0.254488 0.246707 0 0.2 0.0308508 2.56967 29072.6 128.854 0 11.2591 56 70.6818 16882.9 29151 438978 246853 563832 2.50594 0.254916 7
1.43283e+09 1.5975 0.58394 0.44202 -0.635156 -0.311159 0.651074 -0.275427 0.257221 0.00825309 0.25 0.00428126 1.91491 29659.8 116.969 0 0.625503 51 95.0765 17956 31087 485376 272805 621271 1.853 0.247656 7
1.43283e+09 1.8354 -0.00958821 0.44202 -0.705883 -0.0444097 0.706915 -0.00530627 0.336996 0.00549451 0.333333 0.00259013 0.98476 24024.8 115.093 0 2.50201 32 83.8174 18013 31522 519896 291597 663658 0.98476 0 4
