cost_weight: 1
information_weight: 1
IgnorantTotalIG weight: 0.01
OccupancyAwareTotalIG weight: 10
ClassicFrontier weight: 200
TotalUnknownIG weight: 200
UnknownObjectSideFrontier weight: 100
UnknownObjectVolumeIG weight: 100
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43283e+09 0.164597 0.00959967 0.44202 -0.0444049 0.705883 0.00530142 0.706915 0.092154 0.0418309 9.32414e-18 0.0414767 2.02572 32180.3 279.6 0 0 28 279.6 3938.8 6816 38793 28203.4 58180 1.75605 1.07865 7
1.43283e+09 0.176702 -0.251886 0.201752 0.454471 0.530523 0.491035 0.520468 0.089886 0 9.02056e-18 0.0386884 0.0637289 20046.9 151.997 0 0 25 151.997 4117.66 7022 93765 58552.4 124673 0 0.254916 3
1.43283e+09 0.23973 0.40405 0.201752 0.622898 0.316221 0.254483 0.66876 0.0485752 0.0248094 -2.1808e-17 0.0225924 0.98476 34138.7 222.054 0 0 21 158.252 6329.86 11066 134508 82579.3 178801 0.98476 0 4
1.43283e+09 0.416069 0.597507 0.44202 0.229105 0.669144 -0.265627 0.655133 0.05847 0.0220534 3.30932e-17 0.0227088 0.061914 15981.8 106.961 0 3.75302 48 83.1919 7262.62 12615 180992 104048 236084 0 0.247656 3
1.43284e+09 1.25189 -0.823298 0.201752 -0.053777 0.696496 0.71524 0.0208118 0.0332548 0.010704 -2.13949e-17 0.015309 3.00845 38032.1 156.376 0 0 189 153.248 9111.68 15681 207055 117682 271090 2.94472 0.254916 7
1.43284e+09 0.9904 -0.835403 0.44202 0.530534 -0.467736 -0.503613 -0.496116 0.108728 0.0431597 -1.00929e-17 0.0600744 0.061914 35678.2 177.643 0 1.25101 66 173.264 11600.7 20065 240434 140347 318382 0 0.247656 3
1.43284e+09 0.59595 -0.76027 0.201752 0.216854 0.664058 0.652832 0.292938 0.0660663 0 -4.16334e-18 0.0465228 1.04849 32856.5 218.301 0 30.6496 40 115.718 13034 22279 272182 157259 358105 0.98476 0.254916 7
1.43284e+09 0.402493 -0.583931 0.44202 -0.311155 0.635158 0.275423 0.651076 0.120708 0 -1.23358e-17 0.0465394 0.061914 41342.5 257.707 0 40.0322 31 69.4308 13294.3 22584 300468 170589 392178 0 0.247656 3
1.43284e+09 1.76027 -0.40405 0.201752 -0.316221 0.622898 0.66876 -0.254483 0.0261988 0 -1.64799e-17 0.0185396 1.91673 25763.2 103.834 0 1.87651 85 73.8094 13504 22824 324407 182269 421252 1.853 0.254916 7
1.43284e+09 1.58393 -0.597507 0.44202 0.669144 -0.229105 -0.655133 -0.265627 0.113644 0 -3.96508e-18 0.061588 0.061914 33179.8 133.232 1 5.00402 43 71.3073 15122.6 25732 358756 202259 465821 0 0.247656 3
1.43284e+09 1.8354 -0.00959967 0.44202 -0.705883 -0.0444049 0.706915 -0.00530142 0.0470528 0.00555469 1.15648e-17 0.0431393 0.98476 19002.3 93.8255 0 10.008 44 65.6778 15637.2 26173 367214 206142 476402 0.98476 0 4
1.43284e+09 1.8233 0.251886 0.201752 0.530523 -0.454471 -0.520468 0.491035 0.134727 0 1.11022e-17 0.0920539 0.0637289 19033.4 88.1959 0 13.7611 34 42.5342 16211.7 26977 380188 213155 493140 0 0.254916 3
1.43284e+09 1.59751 0.583931 0.44202 -0.635158 -0.311155 0.651076 -0.275423 0.0538213 0.00612254 2.77556e-17 0.0756733 1.04667 26505.6 110.089 0 20.0161 36 66.3033 17485.8 29108 410934 232080 533951 0.98476 0.247656 7
1.43284e+09 1.40405 0.76027 0.201752 0.664058 -0.216854 -0.292938 0.652832 0.251673 0 1.85037e-17 0.195235 0.0637289 24390.5 110.089 1 5.00402 38 67.5543 17158.5 28387 443679 248017 571755 0 0.254916 3
1.43284e+09 0.748114 0.823298 0.201752 0.696496 0.053777 -0.0208118 0.71524 0.194683 0 -9.71445e-17 0.194683 0.98476 30833.3 195.782 0 20.0161 57 79.4389 17373.2 28818 479218 265293 613724 0.98476 0 4
1.43284e+09 1.0096 0.835403 0.44202 0.467736 0.530534 -0.496116 0.503613 3.86518e-17 0 3.86518e-17 0 0.061914 19512.9 105.71 0 22.5181 23 25.6456 17148.1 28178 484080 266739 618858 0 0.247656 3
