cost_weight: 0.5
information_weight: 1
IgnorantTotalIG weight: 0.01
OccupancyAwareTotalIG weight: 10
ClassicFrontier weight: 200
TotalUnknownIG weight: 200
UnknownObjectSideFrontier weight: 100
UnknownObjectVolumeIG weight: 100
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfFree weight: 0
TotalEntropy weight: 0
TotalNrOfNodes weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost IgnorantTotalIG OccupancyAwareTotalIG ClassicFrontier TotalUnknownIG UnknownObjectSideFrontier UnknownObjectVolumeIG TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfFree TotalEntropy TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
1.43284e+09 0.164597 0.00959424 0.44202 -0.0444072 0.705883 0.00530372 0.706915 0.160427 0.0877689 0.03125 0.0444073 0.276155 33454.9 304.62 0 0 14 304.62 4131.3 7391 20449 17435.3 35525 0.00649304 1.07865 7
1.43284e+09 0.176704 -0.251891 0.201752 0.454469 0.530524 0.491037 0.520466 0.10501 0 0.0333333 0.0347671 0.0637289 24502.4 202.037 0 0 6 200.786 5664.3 9937 50096 34400.6 73609 0 0.254916 3
1.43284e+09 0.595955 -0.760272 0.201752 0.216852 0.664058 0.652833 0.292936 0.0735254 0 0.0357143 0.0255834 0.98476 19379 130.73 0 0 78 130.105 7258.56 12866 88027 56962.2 124020 0.98476 0 4
1.43284e+09 0.402496 -0.583935 0.44202 -0.311157 0.635157 0.275425 0.651075 0.0918112 0 0.0384615 0.0282723 0.061914 40170.5 233.938 0 1.87651 26 189.527 8856.41 15656 118193 75568.4 163781 0 0.247656 3
1.43284e+09 0.990406 -0.835403 0.44202 0.530535 -0.467734 -0.503615 -0.496114 0.0910789 0.00618425 0.0416667 0.0262582 0.98476 33427.1 165.133 0 27.5221 78 105.71 9571.68 16883 152023 93667.5 206115 0.98476 0 4
1.43284e+09 0.748109 0.823296 0.201752 0.696495 0.0537793 -0.0208095 0.71524 0.100097 0.0123003 0.0454545 0.0272057 2.9413 23756.2 142.615 0 0 170 134.483 11538.8 20231 180218 109950 243648 2.87757 0.254916 7
1.43284e+09 0.239728 0.404045 0.201752 0.622897 0.316223 0.254485 0.66876 0.097854 0.00766816 0.05 0.0331513 0.98476 40879.3 300.241 1 3.12752 22 144.491 12895.1 22623 214459 130731 288751 0.98476 0 4
1.43284e+09 0.416065 0.597504 0.44202 0.229103 0.669145 -0.265625 0.655134 0.117249 0.0321726 0.0555556 0.0291244 0.061914 25452.8 160.754 0 5.00402 18 126.352 13378.3 23291 233226 140626 311971 0 0.247656 3
1.43284e+09 1.40404 0.760272 0.201752 0.664058 -0.216852 -0.292936 0.652833 0.0915936 0.0036959 0.0625 0.0185724 1.91673 20906.9 87.5704 0 0 100 68.8053 13668.9 23680 247932 147638 329651 1.853 0.254916 7
1.43284e+09 1.5975 0.583935 0.44202 -0.635157 -0.311157 0.651075 -0.275425 0.152664 0.0697842 0.0714286 0.0369619 0.061914 20960 81.9409 0 0 70 70.6818 14593.7 25470 265017 157939 352591 0 0.247656 3
1.43284e+09 1.8354 -0.00959424 0.44202 -0.705883 -0.0444072 0.706915 -0.00530372 0.106393 0.00101822 0.0833333 0.0210565 0.98476 16321.3 75.0604 0 0.625503 41 68.1798 14915 25879 286752 169487 379357 0.98476 0 4
1.43284e+09 1.8233 0.251891 0.201752 0.530524 -0.454469 -0.520466 0.491037 0.157961 0.00092007 0.1 0.0795326 0.0637289 14651.2 63.8013 0 6.88053 25 40.6577 15346.7 26597 305002 179015 401604 0 0.254916 3
1.43284e+09 1.25189 -0.823296 0.201752 -0.0537793 0.696495 0.71524 0.0208095 0.227907 0 0.125 0.101563 1.853 37408.4 160.754 0 22.5181 29 67.5543 15392.5 26503 325306 188558 425487 1.853 0 4
1.43284e+09 1.58394 -0.597504 0.44202 0.669145 -0.229103 -0.655134 -0.265625 0.328534 0.067527 0.166667 0.183251 1.04667 28433.4 110.714 0 8.13154 29 46.9127 15599.2 27035 339244 195870 442421 0.98476 0.247656 7
