cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds
2100.83 0.178562 -0.249732 0.242 0.478298 -0.467498 0.543674 0.507047 1897.5 0 1423.38 821.209 1.95997 0 1 1 0 0 0 1396.5 2636.8 5114
2169.04 1.24973 -0.821438 0.242 0.668778 0.00763671 0.742971 -0.0258992 1897.5 0 1265.33 894.019 2.73057 0 1 1 0 0 0 1396.5 2694.44 5114
2247.61 0.750268 0.821438 0.242 0.00763671 -0.668778 0.0258992 0.742971 1897.5 1896.5 949.25 948.25 2.87757 0 1 1 0 0 0 1396.5 2801.9 5212
2335.63 1.82144 0.249732 0.242 -0.467498 -0.478298 -0.507047 0.543674 1 0 1 0 1.853 85675 1 0 0 0 0 0 3006 5557
