cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2121.41 0.253809 0.819169 0.55199 -0.431572 -0.562989 0.577101 -0.404651 4240.8 0 40387.3 62759.8 2.99892 51469 0.997157 0.750244 200 47517 19 128.1 6790.5 12073 2.84266 0.625055 7
2182.08 -0.694253 -0.473307 0.0218235 0.29641 0.632558 0.655009 0.288054 46920 0 30532.9 21464.1 3.16616 49892 0.934988 0.901515 182 19994 509 145 16082 29403 2.94472 0.885745 7
2298.8 0.156232 0.82559 0.0218235 0.697839 -0.0317773 -0.0154661 0.715383 41525 0 32427.6 32292.2 3.30805 57736 0.980369 0.915571 161 26677 86 156.7 22067.9 40202 2.94472 1.4533 7
2377.83 -0.225612 0.850713 0.394544 0.642084 0.282322 -0.317714 0.638028 3798.04 0 10760.4 9742.74 1.853 11878 0.594601 0.93241 113 6563 1008 182.024 29400 53491 1.853 0 4
2433.64 -0.39977 0.758711 0.55199 0.183274 0.68529 -0.378319 0.594696 3898.42 0 7936.37 6473.95 1.14343 34695 0.577821 0.936936 84 3548 450 206.234 32916.1 59508 0.98476 0.634699 7
2487.72 0.82559 -0.156232 0.0218235 -0.470976 0.515916 0.516788 -0.494916 4990.78 0 6391.02 4751.25 2.72737 6296 0.47126 0.858904 322 2779 1083 395.39 34927.7 62661 2.50594 0.885745 7
2543.4 0.442014 0.761077 0.394544 0.701248 0.0151169 -0.537692 0.467877 5829.54 0 3474.23 1891.02 2.66255 32452 0.524878 0.944106 20 1184 556 262.39 37266 66307 2.50594 0.626449 7
2602.92 0.850713 0.225612 0.394544 -0.653654 0.25439 0.675812 -0.226496 6935.7 0 3775.11 2295.41 0.98476 22516 0.409713 0.911622 38 1494 144 288.42 38840.7 68817 0.98476 0 4
2677.38 -0.761077 0.442014 0.394544 0.485168 0.506547 -0.0493665 0.711045 2931.15 0 2914.73 1462.28 2.87757 1918 0.32205 0.911867 35 1008 290 182.806 40452.7 71291 2.87757 0 4
2734.55 -0.850713 -0.225612 0.394544 0.25439 0.653654 0.226496 0.675812 2934.35 0 2404.1 772.409 0.98476 1120 0.337395 0.882597 17 510 267 213.983 42454.4 74473 0.98476 0 4
2774.6 0.225612 -0.850713 0.394544 -0.282322 0.642084 0.638028 0.317714 2862.88 0 2263.93 711.195 2.73057 944 0.327867 0.861441 15 480 167 247.067 43273.6 75151 2.73057 0 4
2818.41 0.819169 -0.253809 0.55199 0.703261 0.0929257 -0.694204 -0.121941 2834.99 0 2156.62 790.151 2.01167 7925 0.361612 0.872639 15 515 95 149.375 44233 76282 1.853 0.634699 7
2860.12 -0.819169 0.253809 0.55199 -0.0929257 0.703261 -0.121941 0.694204 1585.84 0 1680.23 649.865 2.87757 16616 0.398302 0.814472 23 425 164 230.585 45188.9 77307 2.87757 0 4
2937.24 -0.758711 -0.39977 0.55199 -0.354979 0.614168 0.153002 0.688025 1587.66 0 1578.32 546.41 0.158675 11370 0.378847 0.758189 15 364 122 226.631 45289.4 76773 0 0.634699 3
2966.28 -0.442014 -0.761077 0.394544 -0.0151169 0.701248 0.467877 0.537692 1512.42 0 1347.59 303.465 0.156612 316 0.306131 0.745213 9 195 30 254.722 46196.8 77898 0 0.626449 3
2990.66 0.39977 -0.758711 0.55199 0.68529 -0.183274 -0.594696 -0.378319 1510.89 0 1417.17 209.3 2.01167 10086 0.359935 0.748882 7 165 136 198.302 46446.2 77786 1.853 0.634699 7
3024.98 0.761077 -0.442014 0.394544 -0.506547 0.485168 0.711045 0.0493665 1961.73 0 1635.62 325.723 0.156612 278 0.248035 0.781412 9 241 21 299.773 47301.2 78696 0 0.626449 3
3045.18 -0.253809 -0.819169 0.55199 -0.562989 0.431572 0.404651 0.577101 1096.22 0 1142 45.7764 1.14343 16311 0.392409 0.677899 6 111 40 223.435 47548.5 78643 0.98476 0.634699 7
3105.68 0.758711 0.39977 0.55199 -0.614168 -0.354979 0.688025 -0.153002 705.628 0 705.628 0 0 9260 0.343054 0.702823 5 9 88 195.874 48220.5 79419 0 0 0
