cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 7 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2536.34 0.502247 -0.604025 0.103551 -0.0338523 0.583893 0.79671 -0.152237 1618.38 0 0 0 0.782163 3708 0.398951 0.947766 12 132 271 153.1 29446.4 52843 0.658179 0.495936 7
2536.34 -0.1466 -0.797125 0.177665 -0.805234 -0.0103867 0.229134 0.546798 7871.47 0 0 0 0.851996 29814 0.687815 0.935269 93 804 2521 397.145 29446.4 52843 0.658179 0.775266 7
2536.34 -0.142764 -0.808483 0.178803 -0.714498 0.0239192 0.227975 0.66102 5460.38 0 0 0 0.853496 20843 0.666341 0.951856 40 521 1933 245.79 29446.4 52843 0.658179 0.781266 8
2536.34 0.258892 -0.676449 0.441952 0.641134 -0.311841 -0.613619 -0.339373 2588.51 0 0 0 0.658179 3203 0.370745 0.923035 10 233 686 225.624 29446.4 52843 0.658179 0 4
2536.34 0.263476 -0.687584 0.442019 0.583312 -0.399987 -0.56003 -0.431421 2995.52 0 0 0 0.659679 1062 0.321672 0.922939 20 387 251 247.724 29446.4 52843 0.658179 0.006 5
2536.34 0.782253 -0.0719681 0.103551 -0.254722 0.526493 0.677805 -0.445537 9128.15 0 0 0 0.56277 25998 0.622516 0.934959 51 1540 516 189.045 29446.4 52843 0.438786 0.495936 7
2536.34 0.792716 -0.0778039 0.102341 -0.318567 0.6218 0.591549 -0.402431 21176.5 0 0 0 0.56427 52426 0.748677 0.941702 77 3918 487 242.879 29446.4 52843 0.438786 0.501936 8
2536.34 0.459991 -0.667314 0.177665 0.739964 0.317746 -0.420943 -0.41749 9313.24 0 0 0 0.632603 20415 0.561852 0.906085 153 922 3087 397.638 29446.4 52843 0.438786 0.775266 7
2536.34 0.470734 -0.672633 0.178803 -0.669264 -0.251328 0.463583 0.523461 5662.66 0 0 0 0.634103 15950 0.540327 0.931272 80 517 1963 248.479 29446.4 52843 0.438786 0.781266 8
2536.34 0.661386 -0.295257 0.441952 0.711667 -0.042752 -0.696783 -0.0787178 8137.2 0 0 0 0.438786 10747 0.533034 0.952542 43 1269 915 185.4 29446.4 52843 0.438786 0 4
