
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes base_distance_cost arm_distance_cost energy_cost
2907.58 0.784615 0.391029 0.103551 0.399744 -0.426945 -0.514679 0.626919 -1.00156 0 0 0 1.00156 21110 0.441842 0.590659 269 15112 609 234.655 29849.4 48385 2.4983e+06 0.877572 0.495936 7
2907.58 0.796541 0.392165 0.102341 0.489039 -0.498959 -0.445141 0.560116 -1.00306 0 0 0 1.00306 51365 0.542946 0.744812 397 18955 1428 487.641 29849.4 48385 2.4983e+06 0.877572 0.501936 8
2907.58 0.85735 -0.282023 0.177665 0.612024 0.523389 -0.526038 -0.27345 -1.07139 0 0 0 1.07139 11508 0.551755 0.877777 51 1052 1170 126.25 29849.4 48385 2.4983e+06 0.877572 0.775266 7
2907.58 0.869214 -0.280303 0.178803 -0.564268 -0.438954 0.598258 0.36195 -1.07289 0 0 0 1.07289 15962 0.468524 0.813822 133 4519 1333 218.85 29849.4 48385 2.4983e+06 0.877572 0.781266 8
2907.58 0.811895 0.138595 0.441952 0.692193 0.170782 -0.688676 0.132017 -0.877572 0 0 0 0.877572 6913 0.411777 0.71346 155 5801 400 162.747 29849.4 48385 2.4983e+06 0.877572 0 4
2907.58 0.823674 0.141092 0.442019 -0.704188 -0.0660472 0.706419 -0.0269939 -0.879072 0 0 0 0.879072 21848 0.474638 0.688695 296 13905 769 304.878 29849.4 48385 2.4983e+06 0.877572 0.006 5
2907.58 0.278308 0.831305 0.103551 0.5327 -0.241471 -0.23559 0.776157 -1.22095 0 0 0 1.22095 41240 0.622517 0.481755 358 25556 931 264.175 29849.4 48385 2.4983e+06 1.09697 0.495936 7
2907.58 0.285937 0.840543 0.102341 0.642757 -0.273831 -0.19691 0.687828 -1.22245 0 0 0 1.22245 60652 0.623976 0.651917 491 24219 2480 438.127 29849.4 48385 2.4983e+06 1.09697 0.501936 8
2907.58 0.805659 0.406817 0.177665 0.365144 0.71776 -0.590641 -0.0513285 -1.29078 0 0 0 1.29078 17499 0.492403 0.887017 149 2066 1902 276.576 29849.4 48385 2.4983e+06 1.09697 0.775266 7
2907.58 0.812831 0.416423 0.178803 -0.353336 -0.621477 0.691231 0.105455 -1.29228 0 0 0 1.29228 10165 0.392144 0.801051 165 5858 1056 246.384 29849.4 48385 2.4983e+06 1.09697 0.781266 8
2907.58 0.476095 0.672098 0.441952 -0.574148 -0.422672 0.585733 -0.385512 -1.09697 0 0 0 1.09697 24456 0.506561 0.623387 260 15946 626 233.336 29849.4 48385 2.4983e+06 1.09697 0 4
2907.58 0.482658 0.682193 0.442019 -0.62531 -0.330501 0.642316 -0.295274 -1.09847 0 0 0 1.09847 53207 0.575985 0.593516 492 34719 1326 379.048 29849.4 48385 2.4983e+06 1.09697 0.006 5
2907.58 -0.391029 0.784615 0.103551 0.584558 -0.0192341 0.0793654 0.807232 -1.44034 0 0 0 1.44034 11167 0.417085 0.60786 85 4930 502 171.929 29849.4 48385 2.4983e+06 1.31636 0.495936 7
2907.58 -0.392165 0.796541 0.102341 0.69862 -0.00701452 0.0812994 0.710824 -1.44184 0 0 0 1.44184 26927 0.470397 0.762171 166 8091 1326 412.197 29849.4 48385 2.4983e+06 1.31636 0.501936 8
2907.58 0.282023 0.85735 0.177665 0.062674 0.802858 -0.565323 0.178607 -1.51018 0 0 0 1.51018 24471 0.533993 0.875866 133 1347 3220 351.292 29849.4 48385 2.4983e+06 1.31636 0.775266 7
2907.58 0.280303 0.869214 0.178803 0.0886107 0.709385 -0.67897 0.167095 -1.51168 0 0 0 1.51168 19552 0.472616 0.741263 217 11194 1842 280.069 29849.4 48385 2.4983e+06 1.31636 0.781266 8
2907.58 -0.138595 0.811895 0.441952 0.368694 0.610215 -0.393617 0.580317 -1.31636 0 0 0 1.31636 34050 0.509325 0.675708 267 18452 1032 304.587 29849.4 48385 2.4983e+06 1.31636 0 4
2907.58 -0.141092 0.823674 0.442019 0.451234 0.544639 -0.480426 0.518602 -1.31786 0 0 0 1.31786 37885 0.527253 0.606747 354 21212 1089 344.83 29849.4 48385 2.4983e+06 1.31636 0.006 5
2907.58 -0.831305 0.278308 0.103551 0.547421 0.205931 0.382238 0.715413 -1.65974 0 0 0 1.65974 416 0.29636 0.637004 9 242 71 114.492 29849.4 48385 2.4983e+06 1.53575 0.495936 7
2907.58 -0.840543 0.285937 0.102341 0.648125 0.26087 0.347131 0.625604 -1.66124 0 0 0 1.66124 7021 0.388147 0.773851 86 1451 994 341.483 29849.4 48385 2.4983e+06 1.53575 0.501936 8
2907.58 -0.406817 0.805659 0.177665 -0.249337 0.765728 -0.453941 0.381351 -1.72957 0 0 0 1.72957 20351 0.488425 0.868065 114 2416 2750 319.206 29849.4 48385 2.4983e+06 1.53575 0.775266 7
2907.58 -0.416423 0.812831 0.178803 -0.189604 0.689297 -0.563342 0.414206 -1.73107 0 0 0 1.73107 15184 0.420962 0.767126 125 6303 1368 257.671 29849.4 48385 2.4983e+06 1.53575 0.781266 8
2907.58 -0.672098 0.476095 0.441952 0.107109 0.704858 -0.141577 0.686774 -1.53575 0 0 0 1.53575 8438 0.325896 0.760051 63 1694 561 280.848 29849.4 48385 2.4983e+06 1.53575 0 4
2907.58 -0.682193 0.482658 0.442019 0.208461 0.67586 -0.245396 0.662977 -1.53725 0 0 0 1.53725 6080 0.310528 0.70102 61 1646 218 263.043 29849.4 48385 2.4983e+06 1.53575 0.006 5
2907.58 -0.784615 -0.391029 0.103551 0.426945 0.399744 0.626919 0.514679 -0.123984 0 0 0 0.123984 6592 0.401716 0.529256 3 57 300 125.013 29849.4 48385 2.4983e+06 0 0.495936 3
2907.58 -0.796541 -0.392165 0.102341 0.498959 0.489039 0.560116 0.445141 -0.125484 0 0 0 0.125484 28448 0.536351 0.795207 31 788 1399 289.753 29849.4 48385 2.4983e+06 0 0.501936 4
2907.58 -0.823674 -0.141092 0.442019 -0.0660472 0.704188 0.0269939 0.706419 -0.0015 0 0 0 0.0015 26474 0.460211 0.682216 14 102 335 301.772 29849.4 48385 2.4983e+06 0 0.006 1
2907.58 0.831305 -0.278308 0.103551 -0.205931 0.547421 0.715413 -0.382238 -0.782163 0 0 0 0.782163 9123 0.410222 0.658573 90 3418 712 132.131 29849.4 48385 2.4983e+06 0.658179 0.495936 7
2907.58 0.840543 -0.285937 0.102341 -0.26087 0.648125 0.625604 -0.347131 -0.783663 0 0 0 0.783663 38061 0.543809 0.832673 192 6852 3521 376.463 29849.4 48385 2.4983e+06 0.658179 0.501936 8
2907.58 0.406817 -0.805659 0.177665 0.765728 0.249337 -0.381351 -0.453941 -0.851996 0 0 0 0.851996 26190 0.676889 0.863153 30 1609 1414 123.916 29849.4 48385 2.4983e+06 0.658179 0.775266 7
2907.58 0.416423 -0.812831 0.178803 -0.689297 -0.189604 0.414206 0.563342 -0.853496 0 0 0 0.853496 36389 0.586741 0.774705 30 1602 1840 237.707 29849.4 48385 2.4983e+06 0.658179 0.781266 8
2907.58 0.672098 -0.476095 0.441952 0.704858 -0.107109 -0.686774 -0.141577 -0.658179 0 0 0 0.658179 28568 0.545907 0.747925 55 2170 307 190.941 29849.4 48385 2.4983e+06 0.658179 0 4
2907.58 0.682193 -0.482658 0.442019 0.67586 -0.208461 -0.662977 -0.245396 -0.659679 0 0 0 0.659679 43191 0.58281 0.737187 62 3084 585 238.672 29849.4 48385 2.4983e+06 0.658179 0.006 5
